id	name
UniRef90_P21215	UniRef90_P21215 12-alpha-hydroxysteroid dehydrogenase (Fragment)
UniRef90_P19871	UniRef90_P19871 3-beta-hydroxysteroid dehydrogenase
UniRef90_P14060	UniRef90_P14060 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
UniRef90_P27365	UniRef90_P27365 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
UniRef90_Q60555	UniRef90_Q60555 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
UniRef90_P24815	UniRef90_P24815 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
UniRef90_P22071	UniRef90_P22071 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1
UniRef90_O35469	UniRef90_O35469 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 6
UniRef90_Q9H2F3	UniRef90_Q9H2F3 3 beta-hydroxysteroid dehydrogenase type 7
UniRef90_O35048	UniRef90_O35048 3 beta-hydroxysteroid dehydrogenase type 7
UniRef90_P14893	UniRef90_P14893 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_Q5IFP1	UniRef90_Q5IFP1 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_Q67477	UniRef90_Q67477 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_O46516	UniRef90_O46516 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_P9WQP6	UniRef90_P9WQP6 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_Q9N119	UniRef90_Q9N119 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_P26670	UniRef90_P26670 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_Q89187	UniRef90_Q89187 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_P35430	UniRef90_P35430 20-alpha-hydroxysteroid dehydrogenase (Fragment)
UniRef90_Q7Z5P4	UniRef90_Q7Z5P4 17-beta-hydroxysteroid dehydrogenase 13
UniRef90_Q8VCR2	UniRef90_Q8VCR2 17-beta-hydroxysteroid dehydrogenase 13
UniRef90_Q5M875	UniRef90_Q5M875 17-beta-hydroxysteroid dehydrogenase 13
UniRef90_Q9MYP6	UniRef90_Q9MYP6 17-beta-hydroxysteroid dehydrogenase 14
UniRef90_Q9BPX1	UniRef90_Q9BPX1 17-beta-hydroxysteroid dehydrogenase 14
UniRef90_O16881	UniRef90_O16881 3 beta-hydroxysteroid dehydrogenase dhs-16
UniRef90_P80702	UniRef90_P80702 3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
UniRef90_P80701	UniRef90_P80701 3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase (Fragment)
UniRef90_P23457	UniRef90_P23457 3-alpha-hydroxysteroid dehydrogenase
UniRef90_Q3T001	UniRef90_Q3T001 17-beta-hydroxysteroid dehydrogenase type 6
UniRef90_O14756	UniRef90_O14756 17-beta-hydroxysteroid dehydrogenase type 6
UniRef90_Q9R092	UniRef90_Q9R092 17-beta-hydroxysteroid dehydrogenase type 6
UniRef90_O54753	UniRef90_O54753 17-beta-hydroxysteroid dehydrogenase type 6
UniRef90_P0AET9	UniRef90_P0AET9 7-alpha-hydroxysteroid dehydrogenase
UniRef90_P50200ADP-dependent	UniRef90_P50200ADP-dependent 7-alpha-hydroxysteroid dehydrogenase
UniRef90_P0DKC5	UniRef90_P0DKC5 11-beta-hydroxysteroid dehydrogenase 1A
UniRef90_Q9STY8	UniRef90_Q9STY8 11-beta-hydroxysteroid dehydrogenase-like 2
UniRef90_Q9STY7	UniRef90_Q9STY7 11-beta-hydroxysteroid dehydrogenase-like 3
UniRef90_P0DKC7	UniRef90_P0DKC7 11-beta-hydroxysteroid dehydrogenase-like 4A
UniRef90_Q9T0G0	UniRef90_Q9T0G0 11-beta-hydroxysteroid dehydrogenase-like 5
UniRef90_Q9LUE4	UniRef90_Q9LUE4 11-beta-hydroxysteroid dehydrogenase-like 6
UniRef90_A7B4V1	UniRef90_A7B4V1 7-beta-hydroxysteroid dehydrogenase (NADP(+))
UniRef90_A5PJF6	UniRef90_A5PJF6 Inactive hydroxysteroid dehydrogenase-like protein 1
UniRef90_A5WWC6	UniRef90_A5WWC6 Inactive hydroxysteroid dehydrogenase-like protein 1
UniRef90_Q3SXM5	UniRef90_Q3SXM5 Inactive hydroxysteroid dehydrogenase-like protein 1
UniRef90_Q8BTX9	UniRef90_Q8BTX9 Inactive hydroxysteroid dehydrogenase-like protein 1
UniRef90_Q5R7K0	UniRef90_Q5R7K0 Inactive hydroxysteroid dehydrogenase-like protein 1
UniRef90_P9WGT0	UniRef90_P9WGT0 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_P19992	UniRef90_P19992 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A2R6CXA9	UniRef90_A0A2R6CXA9 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6G3T7	UniRef90_A0A2R6G3T7 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6K9B0	UniRef90_A0A2R6K9B0 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6I6D9	UniRef90_A0A2R6I6D9 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6MZA0	UniRef90_A0A2R6MZA0 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A0B5HHR8	UniRef90_A0A0B5HHR8 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A2R6GCY6	UniRef90_A0A2R6GCY6 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6I078	UniRef90_A0A2R6I078 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A075HXA7	UniRef90_A0A075HXA7 3-beta hydroxysteroid dehydrogenase/isomerase (Fcl)
UniRef90_A0A2R6E5P3	UniRef90_A0A2R6E5P3 3-beta hydroxysteroid dehydrogenase (Fragment)
UniRef90_A0A2R6LMV6	UniRef90_A0A2R6LMV6 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2R6JHP8	UniRef90_A0A2R6JHP8 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2D7BD05	UniRef90_A0A2D7BD05 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2E0YBD5	UniRef90_A0A2E0YBD5 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2E3C5H0	UniRef90_A0A2E3C5H0 3-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A2R6H393	UniRef90_A0A2R6H393 3-beta hydroxysteroid dehydrogenase
