"CARD.ARO_3000180" "CARD.ARO_3000195" "CARD.ARO_3003559" "CARD.ARO_3000578" "CARD.ARO_3004454" "CARD.ARO_3000190" "CARD.ARO_3000205" "CARD.ARO_3000378" "CARD.ARO_3002654" "CARD.ARO_3000498" "CARD.ARO_3000595" "CARD.ARO_3000250" "CARD.ARO_3002932" "CARD.ARO_3002956" "CARD.ARO_3002950" "CARD.ARO_3002242" "CARD.ARO_3004460" "CARD.ARO_3003361" "CARD.ARO_3000800" "CARD.ARO_3000801" "CARD.ARO_3000802" "CARD.ARO_3002686" "CARD.ARO_3002897" "CARD.ARO_3000464" "CARD.ARO_3002660" "CARD.ARO_3000593" "CARD.ARO_3000522" "CARD.ARO_3000230" "CARD.ARO_3001216" "CARD.ARO_3003378" "CARD.ARO_3003577" "CARD.ARO_3000792" "CARD.ARO_3000793" "CARD.ARO_3000794" "CARD.ARO_3003578" "CARD.ARO_3000833" "CARD.ARO_3000074" "CARD.ARO_3003308" "CARD.ARO_3002986" "CARD.ARO_3000656" "CARD.ARO_3000499" "CARD.ARO_3000502" "CARD.ARO_3000796" "CARD.ARO_3003381" "CARD.ARO_3001214" "CARD.ARO_3002867" "CARD.ARO_3000375" "CARD.ARO_3001816" "CARD.ARO_3000596" "CARD.ARO_3003693" "CARD.ARO_3003030" "CARD.ARO_3003031" "CARD.ARO_3002528" "CARD.ARO_3002705" "CARD.ARO_3002635" "CARD.ARO_3003311" "CARD.ARO_3000167" "CARD.ARO_3000774" "CARD.ARO_3000412" "CARD.ARO_3003297" "CARD.ARO_3000005" "CARD.ARO_3002944" "CARD.ARO_3002923" "CARD.ARO_3003070" "CARD.ARO_3002957" "CARD.ARO_3002695" "CARD.ARO_3002604" "CARD.ARO_3003369" "CARD.ARO_3001796" "CARD.ARO_3003839" "CARD.ARO_3002372" "CARD.ARO_3002628" "CARD.ARO_3004191" "CARD.ARO_3000781" "CARD.ARO_3000782" "CARD.ARO_3002837" "CARD.ARO_3002965" "CARD.ARO_3002909" "CARD.ARO_3003069" "CARD.ARO_3002972" "CARD.ARO_3002539" "CARD.ARO_3002881" "CARD.ARO_3002882" "CARD.ARO_3004042" "CARD.ARO_3003773" "CARD.ARO_3002860" "CARD.ARO_3002639" "CARD.ARO_3003380" "CARD.ARO_3001329" "CARD.ARO_3000621" "CARD.ARO_3002968" "CARD.ARO_3002667" "CARD.ARO_3000194" "CARD.ARO_3002804" "CARD.ARO_3002848" "CARD.ARO_3003379" "CARD.ARO_3002859" "CARD.ARO_3002612" "CARD.ARO_3000768" "CARD.ARO_3000413" "CARD.ARO_3002934" "CARD.ARO_3000237" "CARD.ARO_3002507" "CARD.ARO_3003022" "CARD.ARO_3003097" "CARD.ARO_3002999" "CARD.ARO_3001654" "CARD.ARO_3000858" "CARD.ARO_3000813" "CARD.ARO_3002795" "CARD.ARO_3002872" "CARD.ARO_3000410" "CARD.ARO_3002756" "CARD.ARO_3001970" "CARD.ARO_3004032" "CARD.ARO_3004033" "CARD.ARO_3001777" "CARD.ARO_3003583" "CARD.ARO_3001677" "CARD.ARO_3002666" "CARD.ARO_3000823" "CARD.ARO_3000567" "CARD.ARO_3003078" "CARD.ARO_3002630" "CARD.ARO_3003206" "CARD.ARO_3002836" "CARD.ARO_3002669" "CARD.ARO_3002647" "CARD.ARO_3002930" "CARD.ARO_3000013" "CARD.ARO_3002863" "CARD.ARO_3002858" "CARD.ARO_3004128" "CARD.ARO_3003775" "CARD.ARO_3003163" "CARD.ARO_3003209" "CARD.ARO_3003573" "CARD.ARO_3003817" "CARD.ARO_3003574" "CARD.ARO_3003167" "CARD.ARO_3003808" "CARD.ARO_3002578" "CARD.ARO_3000620" "CARD.ARO_3003818" "CARD.ARO_3003801" "CARD.ARO_3002831" "CARD.ARO_3003838" "CARD.ARO_3004035" "CARD.ARO_3004036" "CARD.ARO_3004114" "CARD.ARO_3000316" "CARD.ARO_3000206" "CARD.ARO_3000254" "CARD.ARO_3000829" "CARD.ARO_3000027" "CARD.ARO_3003033" "CARD.ARO_3003702" "CARD.ARO_3004126" "CARD.ARO_3000166" "CARD.ARO_3000753" "CARD.ARO_3002895" "CARD.ARO_3003704" "CARD.ARO_3003705" "CARD.ARO_3003698" "CARD.ARO_3003699" "CARD.ARO_3003700" "CARD.ARO_3003303" "CARD.ARO_3000795" "CARD.ARO_3000518" "CARD.ARO_3003550" "CARD.ARO_3003549" "CARD.ARO_3003548" "CARD.ARO_3003576" "CARD.ARO_3002665" "CARD.ARO_3002069" "CARD.ARO_3003199" "CARD.ARO_3001855" "CARD.ARO_3004122" "CARD.ARO_3002683" "CARD.ARO_3002655" "CARD.ARO_3002685" "CARD.ARO_3002533" "CARD.ARO_3002688" "CARD.ARO_3002645" "CARD.ARO_3004039" "CARD.ARO_3000191" "CARD.ARO_3004359" "CARD.ARO_3002854" "CARD.ARO_3003389" "CARD.ARO_3003374" "CARD.ARO_3004041" "CARD.ARO_3000196" "CARD.ARO_3003479" "CARD.ARO_3002641" "CARD.ARO_3000168" "CARD.ARO_3002415" "CARD.ARO_3000186" "CARD.ARO_3000777" "CARD.ARO_3002835" "CARD.ARO_3001338" "CARD.ARO_3000556" "CARD.ARO_3002629" "CARD.ARO_3003918" "CARD.ARO_3003295" "CARD.ARO_3002525" "CARD.ARO_3003889" "CARD.ARO_3003899" "CARD.ARO_3003900" "CARD.ARO_3003893" "CARD.ARO_3003890" "CARD.ARO_3003585" "CARD.ARO_3004089" "CARD.ARO_3003955" "CARD.ARO_3003679" "CARD.ARO_3003680" "CARD.ARO_3003681" "CARD.ARO_3000506" "CARD.ARO_3000377" "CARD.ARO_3000379" "CARD.ARO_3002679" "CARD.ARO_3003686" "CARD.ARO_3000149" "CARD.ARO_3003895" "CARD.ARO_3003896" "CARD.ARO_3004077" "CARD.ARO_3003709" "CARD.ARO_3004107" "CARD.ARO_3000814" "CARD.ARO_3000803" "CARD.ARO_3000804" "CARD.ARO_3000805" "CARD.ARO_3004072" "CARD.ARO_3004075" "CARD.ARO_3004074" "CARD.ARO_3004073" "CARD.ARO_3003684" "CARD.ARO_3002985" "CARD.ARO_3000819" "CARD.ARO_3003692" "CARD.ARO_3003710" "CARD.ARO_3004056" "CARD.ARO_3000818" "CARD.ARO_3000806" "CARD.ARO_3000807" "CARD.ARO_3000808" "CARD.ARO_3000809" "CARD.ARO_3004069" "CARD.ARO_3004059" "CARD.ARO_3003582" "CARD.ARO_3003685" "CARD.ARO_3003682" "CARD.ARO_3004038" "CARD.ARO_3000676" "CARD.ARO_3004127" "CARD.ARO_3000832" "CARD.ARO_3000830" "CARD.ARO_3003288" "CARD.ARO_3000822" "CARD.ARO_3000025" "CARD.ARO_3000216" "CARD.ARO_3003807" "CARD.ARO_3003841" "CARD.ARO_3003751" "CARD.ARO_3003950" "CARD.ARO_3003390" "CARD.ARO_3004049" "CARD.ARO_3004045" "CARD.ARO_3003820" "CARD.ARO_3003952" "CARD.ARO_3000516" "CARD.ARO_3000024" "CARD.ARO_3003511" "CARD.ARO_3004290" "CARD.ARO_3000826" "CARD.ARO_3003926" "CARD.ARO_3002597" "CARD.ARO_3004054" "CARD.ARO_3003316" "CARD.ARO_3000616" "CARD.ARO_3002644" "CARD.ARO_3003386" "CARD.ARO_3003924" "CARD.ARO_3003907" "CARD.ARO_3002459" "CARD.ARO_3003925" "CARD.ARO_3000215" "CARD.ARO_3003922" "CARD.ARO_3003923" "CARD.ARO_3000780" "CARD.ARO_3003730" "CARD.ARO_3004468" "CARD.ARO_3003966" "CARD.ARO_3003968" "CARD.ARO_3002676" "CARD.ARO_3002626" "CARD.ARO_3000615" "CARD.ARO_3002613" "CARD.ARO_3003930" "CARD.ARO_3000263" "CARD.ARO_3000828" "CARD.ARO_3000491" "CARD.ARO_3000508" "CARD.ARO_3003109"
"Sample1" 0 0 0 0 0 0.0528194604029099 0 0 0 0.00188640930010392 0 0 0 0 0 0 0 0 0 0 0 0 0.00251273435836502 0 0 0 0 0 0.0031440155001732 0 0 0 0 0 0 0 0 0 0 0.00794277600043755 0 0 0 0 0 0 0.00443861011789158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00239544038108434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.243631415853421 0 0 0 0 0 0 0 0 0 0 0 0.0457311345479739 0.0793217417099975 0 0 0 0 0 0 0 0 0 0 0 0.00137536573658474 0 0 0 0.020657219698871 0 0 0 0 0 0.00238283280013127 0.0293441446682832 0 0 0 0 0 0 0 0 0 0 0.0020960103334488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0116086726160241 0 0 0 0 0 0 0 0 0 0 0.00228655672739869 0 0.000754563720041569 0 0 0 0 0 0 0 0 0 0 0 0.00914622690959477 0 0 0.53399894033711 0 0 0 0 0 0.0838404133379521 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00580433630801206 0 0 0.0031440155001732 0.0167680826675904 0 0 0 0 0 0 0 0.00260194386221231 0 0 0 0 0 0 0 0 0 0 0 0 0.0020960103334488 0 0 0 0 0 0 0 0 0.0041920206668976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0116086726160241 0 0 0 0 0 0 0 0 0 0 0 0.00290216815400604 0 0.00773911507734942 0 0.00224572535726657 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00228655672739869 0.0150912744008313 0 0
"Sample2" 0 0 0 0 0 0.0017625438417186 0 0 0 0.394436974732295 0 0 0 0 0 0 0 0.00047001169112496 0 0 0 0 0 0 0.00149970835655004 0 0 0 0 0 0 0.0027116059103363 0 0 0.00024479775579425 0 0 0 0.0027116059103363 0 0 0 0 0 0 0.00108695777715094 0 0 0 0 0 0 0 0 0 0 0 0 0.00128735747837663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00131081635825754 0 0 0 0 0 0.00448984852311475 0 0 0 0 0 0 0 0 0 0 0 0.257484665572804 5.05026888744585e-05 0 0 0 0 0 0 0 0 0 0 0.0337182300154863 0 0 0 0 0.0011639973527631 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000839306591294572 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00066584989576036 0.000587514613906201 0 0 0 0 0 0 0 0 0 0 0 0 0.000587514613906201 0.149138325068497 0 0.00141003507337488 0 0 0 0.000652794015451334 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00135580295516816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000255441136480957 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.127539630768805 0 0 0 0.000267052097230091 0 0 0
"Sample3" 0 0 0 0 0 0.0298139063713914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00795037503237103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0452599223110273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0370568327780006 0 0 0 0 0 0 0 0 0 0 0.00697401318629038 0 0 0 0 0 0.111723691244372 0 0 0 0 0 0 0 0 0 0 0 0.478174730207823 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000500653339569964 0 0 0 0 0 0.0104610197794356 0.0220843750899195 0 0 0 0 0 0 0 0 0 0 0.0165632813174397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0103060417086291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0722761366579185 0 0 0.0611567310182386 0 0 0 0 0 0.0809760419963716 0 0 0 0 0 0 0 0 0.00944187050945836 0 0 0 0.00795037503237103 0 0 0 0.00473236609069705 0 0 0 0.00795037503237103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0220843750899195 0 0 0 0
"Sample4" 0 0 0 0 0 0.00446919191950063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0476713804746733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0111965018614858 0 0 0 0 0 0 0 0 0 0 0 0.993585565871589 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00481744064050067 0 0 0 0 0 0.000470441254684276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0137513597523096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00129541794768134 0.000876312141078555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sample5" 0 0 0 0 0 0.00340281535626511 0 0 0 0.0157053016443005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000504120793520757 0.000370528783237756 0 0 0 0 0 0.00209404021924006 0 0.000394529316668418 0 0 0.00721887584118479 0.00180149048272858 0 0 0 0 0 0 0 0 0 0 0 0.0145908044062409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00669028103943648 0 0 0 0 0 0 0 0.0011342717854217 0 0 0 0 0 0 0 0 0.0102776963462211 0 0 0 0 0 0 0 0 0 0 0 0 0.00301234357094392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00283846138427947 0 0 0 0 0 0.0128948792447941 0.00680563071253021 0 0 0 0 0.00209404021924006 0 0 0 0 0 0.000189045297570284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00194446591786578 0 0 0 0 0 0 0 0 0 0 0 0.000252060396760378 0 0 0.0011342717854217 0.000680563071253021 0.000226854357084341 0.000394529316668418 0 0 0 0 0 0 0 0 0 0 0 0.00045370871416868 0.963258500850428 0 0 0 0 0 0.00857005348985286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00056713589271085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000197264658334209 0 0 0 0 0 0 0 0 0 0 0 0.00418808043848012 0 0.000523510054810016 0.000648155305955258 0.00139602681282671 0 0.000405097066222036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0217402092205826 0 0 0 0 0.00544450457002415 0.000412462467426073 0
"Sample6" 0 0 0 0 0 0.000208921522086684 0 0 0 0 0 0 0 0 0 0 0 0.000121113925847354 0 0 0 0 0 0 0.0022175003660078 0 0 0 0.017990464401909 0 0 0.0250705826504021 0.0379272917018905 0.0215111789407772 0.0041784304417337 0 0.037284456249316 0 0.0404986335121881 0.00232135024540761 0.0327846080812952 0.0199278990298068 0.00896463258408321 0.0260348358292637 0 0.000122895012992168 0 0 0 0 0 0 0 0 0 0 0 0 0.000219917391670195 0 0 0 0 0 0 0 0 0.0501411653008044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0102139410797935 0 0 0.00293382549322339 0 0.00601107537231865 0 0 0 0.00551846041497742 0 0 0 0 0 0 0 0 0.0100062413209939 0 0 0 0.00112402222409211 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000215093007396779 0 0 0 0 0 0 0 0 0 0 0 0.0392129626070392 0 0 0 0 0 0.000290168780675952 0 0 0 0 0 0 0 0 0 0.0205707344823813 0 0 0 0.0276419244606998 0.0177085861578237 0 0 0.0340702789864439 0 0 0 0 0 0 0 0 0.0198707581006891 0.00938314204459498 0.00823024177917244 0 0.000668548870677392 0.0226563783951783 0 0 0 0 0 0 0 0 0 0 0 0 0.00477534907626708 0 0 0 0 0 0 0.000154756683027174 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0128567090514883 0.00324989034357065 0.0289275953658487 0.0369840837312977 0.0473555450063152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00302784814618384 0.00187726585063398 0 0.0430699753224858 0.0292490130921358 0 0 0.0327846080812952 0.00169559496186295 0.000198972878177796 0 0.0128567090514883 0.0102853672411906 0.0385701271544649 0.000222849623559131 0 0.0123363184470233 0.0128380761398195 0.0118755391501905 0.00458466673468004 0.00701976314211262 0 0 0 0 0.0334274435338695 0 0 0.0122138735989139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.80337561351903e-05 0 0 0.00510697053989675 0.00718701046335091 0.0342631296222163 0 0
"Sample7" 0 0 0 0 0 0.0617871307578727 0 0 0 0.0549430178123852 0 0 0 0 0 0 0 0 0 0 0 0 0.000623349969419326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00330625633277421 0.00218072226204257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0152091398788609 0 0 0 0.523619752185361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.105450036493436 0 0 0 0 0 0 0 0.000176534659308208 0 0 0 0.0300876462820945 0.0171172861632944 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0169473272935879 0 0 0 0 0 0.00416250144053037 0 0 0 0 0 0 0 0 0 0 0 0.00137304735017494 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00235379545744277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00760456993943047 0 0 0 0 0 0.0054921894006998 0 0 0 0 0 0 0 0 0.00214911759157818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0027460947003499 0 0 0 0 0 0 0
"Sample8" 0 0 0 0 0 0.128108584829909 0 0 0 0.00915061320213636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00963222442330143 0 0 0 0.0076255110017803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00807407047247326 0 0 0 0 0 0 0 0 0 0 0 0.0192644488466028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321074147443381 0 0 0 0 0 0.153345012818959 0 0 0 0 0 0 0 0 0 0 0 0.438120268465922 0.0294491012954549 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027412226562244 0 0 0 0 0 0 0.106757154024924 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0563114658593006 0 0.00976065408227878 0 0 0 0.00677823200158249 0 0 0 0 0 0 0 0 0 0 0 0 0.00732049056170909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00254183700059343 0 0 0.0101673480023737 0 0 0 0
"Sample9" 0 0 0 0 0 0 0 0 0 0.0061449937475402 0 0 0 0 0 0 0 0 0 0 0 0 0.00339034137795321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00396451209518723 0.00722940440887082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0249965847357568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.137130386787213 0 0 0 0 0 0 0 0 0 0 0 0.719587673624997 0.0760808749695453 0 0 0 0 0 0 0 0 0 0 0.0128243347774752 0 0 0 0 0.0160325436764671 0 0 0 0 0 0 0.00682777083060022 0 0 0 0 0 0 0 0 0 0 0.00682777083060022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.151261384554835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0378153461387088 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sample10" 0 0 0 0 0 0.00567115491477282 0 0 0 0.00283557745738641 0 0 0 0 0 0 0 0.00328762603754946 0 0 0 0 0.000782228264106595 0 0.0034026929488637 0 0 0 0.00315064161931823 0 0 0 0.0348994148601404 0.0168034219696973 0 0 0 0 0 0 0.0348994148601404 0 0.00315064161931823 0 0 0 0.00833993369819532 0 0 0 0 0 0 0 0 0 0 0 0.00252051329545459 0 0 0 0 0 0 0 0.00540109991883125 0 0 0.00420085549242431 0 0 0 0 0 0.146104330007706 0 0 0 0 0 0 0 0.00315064161931823 0 0 0.00246571952816209 0 0 0 0 0 0.221035750151917 0 0 0 0 0 0 0 0 0 0 0 0 0.00570030125148858 0 0 0 0 0 0.00969251930888445 0 0 0 0 0 0.000740118096544577 0 0 0 0.034112210013671 0 0 0 0 0 0.00119392735047849 0.103971173437502 0 0 0 0 0.0348994148601404 0 0 0 0 0 0.00157532080965912 0 0 0 0 0 0 0 0 0 0 0.00680376208815981 0.000875854040891555 0 0 0.00540109991883125 0 0 0 0.0016319870258339 0 0 0 0 0 0 0 0 0 0.0068741271694216 0 0.00655333456818193 0.00378076994318188 0.00810164987824688 0 0 0 0 0 0 0 0 0 0 0 0 0.122147952010491 0.00056617187169113 0 0 0 0 0.0168034219696973 0 0 0 0 0 0 0 0 0.00493143905632419 0 0 0 0 0.0174497074300702 0 0 0.00472596242897735 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0068741271694216 0 0.00360073327922084 0 0.0436242685751755 0 0 0 0 0 0 0 0 0 0 0 0 0.0116331382867134 0.0119392735047849 0.00180036663961042 0.00302461595454551 0 0 0 0 0.0226846196590912 0 0 0 0 0 0 0 0 0 0 0 0.0103111907541324 0 0 0 0 0 0.00630128323863647 0 0 0 0 0.0453692393181825 0 0
