"s__Bifidobacterium_adolescentis","s__Bifidobacterium_bifidum","s__Bifidobacterium_dentium","s__Bifidobacterium_longum","s__Bacteroides_cellulosilyticus","s__Bacteroides_clarus","s__Bacteroides_finegoldii","s__Bacteroides_fragilis","s__Bacteroides_plebeius","s__Bacteroides_salyersiae","s__Prevotella_copri","s__Lactobacillus_delbrueckii","s__Streptococcus_salivarius","s__Streptococcus_thermophilus","s__Clostridium_asparagiforme","s__Clostridium_bolteae","s__Clostridium_leptum","s__Pseudoflavonifractor_capillosus","s__Eubacterium_eligens","s__Ruminococcus_gnavus","s__Ruminococcus_torques","s__Butyrivibrio_crossotus","s__Dorea_formicigenerans","s__Lachnospiraceae_bacterium_5_1_63FAA","s__Lachnospiraceae_bacterium_8_1_57FAA","s__Roseburia_hominis","s__Oscillibacter_unclassified","s__Anaerotruncus_colihominis","s__Faecalibacterium_prausnitzii","s__Ruminococcaceae_bacterium_D16","s__Ruminococcus_lactaris","s__Subdoligranulum_unclassified","s__Dialister_invisus","s__Mitsuokella_unclassified","s__Veillonella_unclassified","s__Oxalobacter_formigenes","s__Bilophila_wadsworthia","s__Haemophilus_parainfluenzae","s__Flavonifractor_plautii","s__Desulfovibrio_piger"
"+","+","","+","-","-","-","","","-","","","+","","-","-","","","-","","-","","-","-","-","-","","","","-","-","","+","","","","-","+","",""
"+","","","+","-","-","","","","","+","","","","-","-","","","","","-","+","-","-","","-","","","","","","","+","","","","-","+","",""
"-","-","-","-","","+","+","","","+","","","-","","","","-","","","","+","","+","","","","","","","+","+","","-","","","","","-","","+"
"+","+","+","+","-","-","-","","-","-","","","+","+","","","","-","","","-","","-","","","","","","","-","-","","+","","","","","+","","-"
"","","","-","","","","","+","","","-","","-","","","","","","","","","","-","","","","","","","","","","","","","","","","+"
"-","-","","-","","","+","","","","","+","","+","","","","+","+","","+","","+","+","+","","","","","+","","","-","","","","","","",""
"","","-","+","","","","","","","","","","","-","-","-","-","+","-","-","+","","","-","+","-","-","","-","","+","+","","","+","","+","-",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","+","","+","-","-","-","-","+","-","-","+","","+","-","+","-","-","+","","+","+","","","+","","","+","-",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","+","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","+","",""
"+","","","+","-","","-","","","-","","","","","","","","","","-","","+","","","","","","","+","","","","-","+","","","-","","-","+"
"","","","","","","","","","","-","","","","","","","","","","","","","","","","+","","","","","","","","-","","","-","",""
"","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","-","","",""
"","","","","","","","-","+","","","","","","","-","","","","","","","","","","","","-","","","","","","+","","","-","","-","+"
"","","","","","","","","+","","+","","","","","","","","","","","","","","","-","","","","+","","","-","+","","","-","","","+"
"","","","","","","","+","","+","","","","","","","","","","","","","","","","","","","","","","","","-","","","+","","","-"
"","","","","","","","+","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-"
"","","","","-","","","-","","-","","","","","","","","","","","","","","","","","","","","","","","","+","","","-","","",""
"","","","","","","","","","","","","","","","","","+","-","","","","","","","-","+","","-","+","","-","","","-","-","","-","+",""
"","","","","","","","","","","","-","-","-","","+","","+","-","+","+","-","","","","-","+","+","-","+","","-","","","-","-","","-","+",""
"","","","","","","","","","","","-","","","","+","","+","","+","","","","","","-","+","+","-","+","","-","","-","-","-","","-","+",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","-","+","","+","","","","","","+","","","","","","+","-","","","","","","+","+","","","","-","+","-","","-","+","","","+",""
"","","+","","","","","","","","","","","","","","","-","","","","","","","","","-","","","","-","","","","+","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","-","","","+","+","","","","","","","","+","","-","-","","+","-","","+","","","","+","-","","","","","+","","","","","","","-",""
"+","","-","","","","","-","","","+","","-","","-","-","-","-","+","-","-","+","","","-","+","-","-","+","-","+","+","","","","+","","","-","+"
