"s__Bifidobacterium_adolescentis","s__Bifidobacterium_bifidum","s__Bifidobacterium_dentium","s__Bifidobacterium_longum","s__Bacteroides_cellulosilyticus","s__Bacteroides_clarus","s__Bacteroides_finegoldii","s__Bacteroides_fragilis","s__Bacteroides_plebeius","s__Bacteroides_salyersiae","s__Prevotella_copri","s__Lactobacillus_delbrueckii","s__Streptococcus_salivarius","s__Streptococcus_thermophilus","s__Clostridium_asparagiforme","s__Clostridium_bolteae","s__Clostridium_leptum","s__Pseudoflavonifractor_capillosus","s__Eubacterium_eligens","s__Ruminococcus_gnavus","s__Ruminococcus_torques","s__Butyrivibrio_crossotus","s__Dorea_formicigenerans","s__Lachnospiraceae_bacterium_5_1_63FAA","s__Lachnospiraceae_bacterium_8_1_57FAA","s__Roseburia_hominis","s__Oscillibacter_unclassified","s__Anaerotruncus_colihominis","s__Faecalibacterium_prausnitzii","s__Ruminococcaceae_bacterium_D16","s__Ruminococcus_lactaris","s__Subdoligranulum_unclassified","s__Dialister_invisus","s__Mitsuokella_unclassified","s__Veillonella_unclassified","s__Oxalobacter_formigenes","s__Bilophila_wadsworthia","s__Haemophilus_parainfluenzae","s__Flavonifractor_plautii","s__Desulfovibrio_piger"
6.52476317522484,5.73257460830655,2.16670729630077,6.2416471062823,-5.08422237972326,-5.18074791459615,-3.7410746292542,-2.00176900561788,0,-4.43278656318212,2.40863262111965,2.38235850704246,2.92269554536121,0,-5.32233728177719,-4.94045488208146,0,-2.87178780637202,-3.04265640496066,0,-4.95756626353037,2.36881900845064,-4.6634910341726,-3.48447672821267,-2.97944530675409,-3.869432603267,0,-2.35407863151117,2.05759145194179,-4.25996849227926,-3.85019299343185,0,5.96484417763947,2.06780038028153,0,-2.26191081767241,-3.20686916294025,3.58962895374617,-2.37664329109812,0
3.64086242618061,2.51712918619167,0,3.08643460570437,-3.43705951907407,-3.64468872982968,0,-2.27311722025922,2.05540914960385,-2.88226570949155,3.22497735326228,0,0,0,-5.33604184349639,-4.42113504535563,-2.81626241505994,0,0,0,-3.24334737948525,3.05118897717896,-2.97413902971084,-3.00381797815474,-2.1072415192025,-3.47204325275589,-2.30977160047776,0,2.33188417896152,-2.30115143770454,0,0,3.39325642245737,1.99449300154566,0,0,-3.01246435359605,3.11224896477894,-2.34924482408625,0
-3.67917636520815,-5.92947019141464,-3.78039599794791,-3.32719736711945,0,4.61392157347778,5.48271465572032,0,2.79016502110799,3.76214048063887,0,0,-4.7181629075311,0,0,0,-3.93709146583067,2.46213407699129,0,0,2.9847675324828,0,3.77044353402508,0,0,0,2.49921563363451,0,0,3.73194580582511,6.45574324245158,0,-6.16233272403955,-2.61825460328157,0,0,0,-3.80291129651807,0,3.83459731060823
5.52303894676168,5.93028471048391,3.48616530426871,6.50618907114607,-2.99160812379027,-4.00448224489608,-5.90688352129404,0,-4.21350367819783,-3.57591458664971,0,2.39166624973245,3.30688906604981,3.4009987502856,0,0,2.62464464888312,-3.53696762748274,0,0,-4.22417521834213,0,-3.59601396923848,0,-2.06771805942493,0,0,-2.07047148431264,0,-4.4343343933209,-4.08672379099287,2.87605087536088,5.90143452062358,0,2.22111096970483,0,0,3.28790148366169,0,-4.37754013517552
0,0,0,-3.77183783958808,0,0,2.3653121481099,0,3.50564193375976,0,0,-3.92992083865424,0,-3.66995613764697,0,0,0,0,-2.11235351562592,2.56470807987068,2.77849421896125,0,0,-3.33966633929398,0,-2.35730071387881,0,0,0,0,0,0,-1.98615863173186,2.25401661794566,-2.13066938314561,0,0,-2.09216864841477,0,3.14804771904878
-3.31729942709146,-4.69330773825215,0,-4.36510598735273,0,2.89342056186891,3.11636661492721,0,0,0,0,3.44312841037411,0,4.19716304410184,2.71318007164944,1.96734204848257,0,3.1047545312861,3.10569206695784,0,3.58632460506774,0,3.45906522446562,3.26376137518923,3.75513292100085,0,0,0,0,4.07474929911206,2.80112679829106,0,-3.81534001151335,0,0,-2.20984270807107,0,0,0,0
2.52026415306161,0,-3.13894410177749,3.26793019452964,0,0,0,0,0,0,0,0,0,0,-3.40473479830654,-4.22700083192481,-3.84489966691266,-4.84119765335031,3.64728221972414,-4.12407397540855,-4.71965245059243,3.13589397831388,0,0,-2.94418496512634,4.69267176510852,-6.15298042649485,-2.97486940394219,2.77836335308658,-3.74210965238905,0,3.35538450452444,3.45383706189968,0,0,3.86062893532423,-2.29126902300772,3.24428837514956,-4.47306321472083,-2.64985159317148
0,0,0,0,0,0,0,2.56826818931411,0,0,0,0,0,0,0,0,-2.00588969387655,0,0,0,0,0,0,0,2.10297353663708,0,0,0,0,0,0,0,-2.2298755648542,0,0,0,0,0,0,0
0,-2.70456202028473,-2.90877071366596,0,0,0,0,-2.11875693087331,0,0,0,3.16568605571617,0,3.16761138793172,-3.61248545784387,-3.90892260788966,-3.64733881540168,-3.4280611796346,10.1880424020022,-5.63798641067203,-3.28262110459274,4.87371601611263,0,3.85468280237275,-3.94256680152332,8.31884206523729,-8.17905142079446,-3.85796281399195,5.67083508501984,-2.22688268139656,3.71040504590724,5.09040451763755,0,0,3.90046065430381,2.58521948335559,0,6.7404768425554,-6.82640370731666,0
0,0,0,0,0,0,0,0,2.40477709387894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14735022556623,0,0
