"D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.DiabetesT2","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.Thrombosis","D.GI.Discomfort.Burping","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Nausea","D.GI.Discomfort.Pain","D.GI.Discomfort.Unwell","D.GI.FGID.Bloating","D.GI.Gallstones","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.IBS.Any","D.GI.IBS.TypeD","D.GI.IBS.TypeM","D.GI.Stomach.Ulcer","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Other.Rheumatoid.Arthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","General Health"
"","","","-","","","","","","-","","","","","","","-","","-","","","","","","-","","","","","","","-","-","","+"
"","","+","+","","","","","","","","","","","","","+","","","","","","","","","","","","+","","","","+","","-"
"","","","","","","","","","","","","","","","","-","","-","","","","","","-","","","","","","","","-","",""
"","","","","","","","","","","","","","+","","","","","","","+","+","","","","","","","","","","","","","-"
"","","","","+","","","","","+","+","+","","+","","+","+","+","","","","","","","+","","","","+","","","","+","+","-"
"","","","-","","","","","","","","","","","","-","","","","","","-","","","","","","","","","","","","","+"
"","","-","","","","","","","","","","","","-","","","","","","","","","","","","","","-","","","","","","+"
"","","-","-","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","-",""
"-","","-","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","-","+"
"","-","-","","-","-","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","+"
"","-","","-","-","","","","","","-","-","","","","-","-","-","","","","-","","","-","","","-","-","","","","-","","+"
"","+","","+","","","","+","+","+","+","","","","","","+","","","+","","","+","","+","","","","","+","+","","","","-"
"","+","","","","","","+","+","","","","","","","","","","","+","","","","","","","","","","","","","","","-"
"+","","","+","","+","","","","+","+","+","+","+","","","+","","","+","+","+","+","+","+","+","","+","","","","+","+","","-"
"+","","+","+","","+","","","","+","+","+","+","+","","+","+","+","","","+","","","+","","","","","","","","","","","-"
"","","","+","","","","+","","","+","+","","+","","","+","+","","","","","","","","","","+","","","","","","","-"
"","","","+","","","","","","","","","","","","+","","","","","","","","+","","","","","","","","","","","-"
"","","","","","","","","","","+","","","","","","","","","","","","","","+","","+","","","+","","","","","-"
"+","","","+","","+","+","","","+","+","+","","+","","","+","","+","","+","+","+","","+","","","","+","","","","","+","-"
"+","","","","+","","","","","","","","","","","","","","","","","","","","","","","","+","","","","+","+","-"
"","","","-","","","","","","-","","-","","","-","","-","","","","","","","","","","","","","","","","","",""
"","","+","+","","","","+","","+","+","+","","+","+","","+","+","","","","+","","","","","","","","","","","","","-"
"","","","+","","","","","","+","+","","","","","","","","","","","","","","","","","","","","","","","","-"
"","","","-","","","-","-","","","-","","","","","","-","","-","","","","","","-","","","","-","-","","-","-","","+"
"","","","-","","","","","","","","-","","","","","","","","","","-","","","","-","","","","","","-","-","-","+"
"","","","","","","","","","+","+","+","","","","","","","","","","","","","","","","","","","","+","","",""
"","","+","","","","","","","+","+","","","","","","","","","","","","","","","","","","","","","","","","-"
"","","","","","","","","","","","","","","-","","","","","","","","","","+","+","+","","","","","","+","","-"
"","","","+","","","","","","","+","+","+","+","","","+","","","","+","","","","","","","","","","","","","","-"
"","","","+","","","","","","","","","","","","","","","","","","+","","+","","","","","","","","","","","-"
"","","","-","","","","","","-","-","-","","-","-","","-","-","","","","","-","","","","","","-","","-","-","","","+"
"+","","","","","","+","+","","","","+","","","","+","","","","","","+","","","","","+","","+","+","","","","+","-"
"","","","-","","","","","","-","-","-","-","","-","-","-","","","","","","","","","","","","-","","","","","","+"
"","+","","","+","","","","","","+","+","","","","","+","","+","","","","","","+","+","","","","","","","","+","-"
"","","","","","","","","","+","+","+","","","","","+","","","","","","","","+","","","","","","","","","",""
"","","-","-","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","+","","+","+","+","","","","","+","+","","","","","","+","","","","","","","","","","",""
"","+","","","","","","","","","","","","","","","","+","","+","","","","","","","","","","","","","+","","-"
"","","","","-","","","","","","","","","","","","-","-","","","","","","","-","","","-","","","","-","","","+"
"","","","-","-","","","","","","","","","","","","","","-","","","-","","","","","","","","","","","","","+"
