"D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.DiabetesT2","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.Thrombosis","D.GI.Discomfort.Burping","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Nausea","D.GI.Discomfort.Pain","D.GI.Discomfort.Unwell","D.GI.FGID.Bloating","D.GI.Gallstones","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.IBS.Any","D.GI.IBS.TypeD","D.GI.IBS.TypeM","D.GI.Stomach.Ulcer","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Other.Rheumatoid.Arthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","General Health"
0,-2.60101582498332,0,-5.188136425655,-2.90687954037992,0,0,-2.43688792377221,0,-2.99833714204357,0,-2.4101952667506,0,0,-2.85422866338667,0,-3.51088257788063,-2.40442309612209,-3.84468403448803,0,0,-2.80172635991948,-2.75470873890374,-2.86875744903597,-4.20234967583519,0,0,0,-2.20131569202043,-2.15219406113795,-2.48578876697267,-5.04549049041714,-5.15880950649644,-2.62241058284665,4.26701925655052
0,0,4.61989175568244,3.05628284672461,0,0,0,2.12262370527891,0,2.02339698077013,0,0,0,0,0,0,3.15104237830919,1.99331069625404,0,2.0371531552963,0,0,0,0,0,2.82293504495155,0,0,2.97161756698553,0,2.5627538043201,2.45060369121425,3.04550950476699,0,-3.00736992707071
0,0,0,-2.32267162780576,0,0,0,0,0,0,0,0,0,0,-2.90798540281719,0,-3.16232352445648,0,-4.12774156416155,0,0,-2.02334845555291,0,-2.70746498367622,-3.49404842343832,0,0,0,0,-2.36640872643751,-2.25443079041252,0,-2.93587410227718,0,0
0,0,0,0,0,0,0,0,0,2.85040391601803,0,2.06100062745641,0,3.32075994414671,0,0,0,0,0,0,3.18712743623549,3.29053463054505,2.48119406516362,0,0,0,0,0,0,0,0,0,0,2.63980842037921,-5.10044724234398
0,2.7010271584127,2.20868506287351,2.30505317704288,3.23551972985351,0,2.35541184568147,2.44566099898137,0,3.46059637851817,5.22075881613391,3.36230501758869,0,2.95525764005665,0,3.47733701283013,3.91680769225213,3.98962512343395,2.63792125158119,0,2.20583475729847,2.57773676981627,2.83906533534175,0,3.80896440060207,2.70150732843169,2.35569562466799,2.88815464194303,3.32528983159514,2.47465298205678,0,2.55808214239965,4.89062666777866,3.27042721504329,-6.97797294604104
0,0,0,-3.53971477089433,0,0,0,0,0,0,0,0,-2.40590050987592,0,-2.68511957823155,-3.62675245323928,-2.233923534123,-2.79866642347883,0,0,0,-3.98943926854921,-2.43672529723923,0,0,0,0,0,0,0,0,0,0,0,4.25068252564978
-2.13662461675766,0,-3.13087554408272,-2.30813293438647,0,0,0,0,0,-2.62080086793687,-2.06220092420306,0,-2.10183177918315,0,-3.48123127365153,0,0,0,0,0,-2.28652632384367,-1.9927781983403,0,-2.38579852858598,0,0,0,-1.97988444785835,-3.1400413298728,0,-2.36751119142212,0,-2.0028837836789,-2.09118222187439,3.87393375055322
-2.88310552794552,0,-4.67199372229109,-3.24948405432549,-2.24103026419295,0,0,0,0,0,0,-2.11073903962842,0,0,0,-2.67390530502018,-2.87860877562121,0,0,0,0,0,0,0,-2.07451695645024,0,0,-3.24310830854949,0,-2.14780104713447,0,-2.04599452579614,-2.44716331946582,-3.45621850617305,2.8845337178834
-3.1769189467372,0,-4.34074230729189,-2.83026777930622,-2.68640735008646,0,0,0,0,-2.08126528204038,0,0,0,0,0,0,-2.85046252855081,0,0,0,0,0,0,0,-2.35912021564427,0,-2.08558983434329,-3.46873006866339,0,0,0,-2.11687449251372,-2.79302881379964,-3.55837943484559,2.9243489002038
0,-3.10922339573207,-3.29430764867452,0,-3.65420662337922,-3.06719586517482,0,0,-4.260717690577,0,0,-2.28570346506148,0,0,-2.27119449873245,0,-2.15982111881828,0,0,0,0,0,0,0,0,-2.48724136504106,0,0,0,0,0,-2.8870765054811,-2.19258010229983,-2.19248513700066,3.03375405907473
-2.20969078485785,-3.78655311546548,-2.79957677645069,-3.05299199701829,-5.19306762955634,-2.41468546911933,0,0,0,0,-4.01282631518088,-3.03123340499586,0,0,-1.96930927803481,-3.33443286580069,-3.7687291509699,-3.64491431841043,0,0,0,-3.05251200722998,0,0,-2.97540030075431,0,-2.69704006068817,-3.09207205108674,-3.22619139766591,-2.90029187214438,-2.17625692233872,-2.80681802288739,-3.33799249548343,0,5.81279935773566
0,3.44598433382907,0,4.03040783969727,2.85968644839343,2.35011236259485,0,5.19958652185819,3.62200885648902,3.95583375757063,3.68159388915181,2.39066348887266,0,0,0,0,2.92661924273007,0,0,4.73690824180184,0,0,3.52338531810971,2.01183877741487,3.91506741787778,0,0,2.05339459677742,2.42685522331361,4.22354951328822,3.69541567308686,2.86745649054335,2.4424150553434,0,-5.83096038195567
0,3.12282589124893,0,0,2.08349390537513,0,0,4.54389963500654,3.16539414048292,2.33617440488172,2.26637385889525,0,0,0,0,0,2.06883837640073,0,0,5.01064494161422,-2.53914526954241,0,0,0,2.58520616544537,0,0,0,0,2.12425485169702,2.40274161558271,0,0,0,-4.89191805878909
