"Glycemic Load","Total Kcal","Alchohol Intake","Carb Intake","Carbs Fructose","Carbs Glucose","Carbs Lactose","Carbs Maltose","Carbs Poly","Carbs Suchrose","Fat Intake","Protein Intake","Protein Animal","Protein Plant","Probiotics","Carb Fat Ratio","Carb Protein Ratio","Lifelines Diet Score","Lifelines Protein Score","Lowcarb Dietscore","Plantprotein Diet score","General Health"
"+","+","-","+","","","","+","+","","","","-","","","+","+","","","-","+","+"
"+","","-","+","","","","+","+","+","","-","-","","","+","+","","","-","+",""
"+","+","-","+","","","+","+","","+","","-","","","","+","+","","","-","",""
"","","-","+","","","","","","+","","","","-","","","+","","-","-","","-"
"+","+","-","+","","","","+","+","+","-","-","-","+","","+","+","","","-","+",""
"-","-","","-","","","","-","","","","","","","","","","","","","",""
"-","-","+","-","","","-","-","","-","","","","","","","-","","","","-",""
"-","","+","-","","","","-","-","-","","+","+","","","-","-","","","+","",""
"","","+","-","","","","","","-","","","","","","","-","","","+","",""
"-","","+","-","","","","","","","","","","","","","-","","","","",""
"","","","","","","","","","","","+","+","","","","","","","","","+"
"-","","+","","","","-","","","","","","","","","","","","","","",""
"","","+","-","","","","-","-","","","","+","","","","-","","","","-",""
"","","+","-","","","-","","","","","","","","","-","","-","","","",""
"","","","","","","+","","","","-","+","+","","","+","","+","","","",""
"","","-","","","","","","","+","","","","","","","+","","","","","-"
"+","","-","+","","","","","","+","","","","","","","+","","","","","-"
"","","","+","","","+","","","","-","+","+","","","+","","+","","","-",""
"-","-","","","","","","","","","","","","-","","","","-","","","-","-"
"-","-","","","","","","","-","","","","","-","","","","-","","","","-"
"-","-","","","","","","","","","","","","","","","","","","","","-"
"","","","","","","","","","","","","","-","","","","-","","","","-"
"","","-","","","","","","","+","","-","","-","","","+","-","-","","","-"
"","","","","","","","","","","","","","-","","","","-","-","","","-"
"","","","-","-","","","","-","","","","+","-","","","","-","-","","-","-"
"-","","","","+","","","-","","-","","+","+","+","","","-","+","+","","","+"
"","","+","","","","","-","-","","","","+","","","","","","","","-",""
"","","","","","","","","","","","","","-","","","","-","","","","-"
"-","-","+","","","","","-","","-","","+","","","","","-","+","","","",""
"-","-","+","-","","","","-","-","","","","+","-","","-","-","-","-","+","-","-"
"","+","","","","","","","","","","","","+","","","","+","","","","+"
"-","","","","","","","","","","","+","+","","","","-","","","","-",""
"-","-","+","-","","","","-","-","","","","+","","","","-","","","+","-",""
"-","-","","","","","","-","","-","","+","","","","","-","","","","",""
"-","-","","","+","+","","","","","-","+","+","","","","","+","","","",""
"-","","","","","","","-","","","","","+","-","","","-","-","","","-","-"
"-","-","","","+","+","","","","","","+","","+","","","","+","+","","","+"
"","","+","-","","","","","","","","","","","","-","-","","","+","-",""
"","","","","-","","","","-","","","","","-","","","","-","-","","-","-"
"+","","-","+","","","+","","","","","","","","","","","+","","","",""
"-","","+","-","","","","-","-","","","","+","-","","-","-","","","+","-","-"
"-","","+","-","","","","-","","","","+","","","","","-","+","+","+","","+"
"","","","","","","","","","","","","","+","","","","+","+","","","+"
"-","","","","","","","-","","","","","","-","","","","-","","","","-"
"-","-","+","","","","","-","","","","","+","","","","-","","","","-",""
"+","+","-","+","","","","","+","+","","","-","+","","+","+","","","-","+",""
"","","","","","","-","","","","","","","+","","","","","+","","+","+"
"","","+","-","","","","","","","+","","","","","-","","","","+","","+"
"+","+","-","+","+","","+","","+","","","","","+","","+","","+","+","","",""
"","","","-","","","","","","","+","","","","","-","","","","+","",""
