"Glycemic Load","Total Kcal","Alchohol Intake","Carb Intake","Carbs Fructose","Carbs Glucose","Carbs Lactose","Carbs Maltose","Carbs Poly","Carbs Suchrose","Fat Intake","Protein Intake","Protein Animal","Protein Plant","Probiotics","Carb Fat Ratio","Carb Protein Ratio","Lifelines Diet Score","Lifelines Protein Score","Lowcarb Dietscore","Plantprotein Diet score","General Health"
6.52476317522484,3.64086242618061,-3.67917636520815,5.52303894676168,0,0,0,6.24582937649579,6.18501213756706,2.60964266607434,0,-2.62716790111969,-3.31729942709146,2.52026415306161,0,3.79180024980611,4.84898469160612,0,0,-3.74568771049554,3.44398678862622,4.26701925655052
5.73257460830655,2.51712918619167,-5.92947019141464,5.93028471048391,0,0,2.13473787724941,4.66351153643328,3.50792756087064,5.33363699327068,0,-4.99870166556489,-4.69330773825215,0,0,3.67604436174866,6.66713969054667,-2.70456202028473,0,-5.23471564240826,3.75185471958282,0
5.58592388244464,3.22251495014657,-4.1350681277991,5.04976854429744,0,0,3.56366851875131,3.16979199937145,0,4.61044950182607,0,-3.22993255676273,-2.46721427212105,0,0,3.47691372295936,5.09489938176554,0,0,-4.29000751976524,0,0
2.16670729630077,0,-3.78039599794791,3.48616530426871,0,0,2.29178780253137,0,0,4.2415993037777,0,0,0,-3.13894410177749,0,2.65995004701903,3.01122235300973,-2.90877071366596,-3.45489549768053,-3.18411038806924,0,-3.00736992707071
6.2416471062823,3.08643460570437,-3.32719736711945,6.50618907114607,0,0,2.89345018756606,6.93576318000463,5.94170705273466,3.10293015980233,-3.77183783958808,-3.15248584996182,-4.36510598735273,3.26793019452964,0,5.58199888036975,5.65426675331672,0,2.25645957332379,-5.3445676516584,4.69249294285795,0
-5.08422237972326,-3.43705951907407,0,-2.99160812379027,0,0,-2.27797665294397,-3.04050194303938,0,-2.1859986448248,0,0,0,0,0,-2.46538904002237,-2.86339574934315,0,0,2.51290044166407,0,0
-5.18074791459615,-3.64468872982968,4.61392157347778,-4.00448224489608,0,0,-3.59365976640067,-3.95906468788624,-2.21965183124592,-3.47109348321731,0,2.37281338186306,2.89342056186891,0,0,-2.23872756970346,-3.89231853617017,0,0,2.35134472911696,-3.29043322190738,2.08628516836092
-3.7410746292542,0,5.48271465572032,-5.90688352129404,0,0,-2.16789550525117,-3.1068806184418,-3.34706046212542,-4.01110650130667,2.3653121481099,3.02306537164375,3.11636661492721,0,0,-4.45341957726757,-5.47326670039315,0,0,4.41864724953257,-2.8381917515417,0
-2.35562516315657,0,3.26074583094679,-3.44115820473767,0,0,0,0,0,-3.05957471706914,0,2.12491406667756,0,0,0,-2.38244867507993,-3.36208224625075,0,0,3.31272859114913,0,2.58149245141606
-4.43278656318212,-2.88226570949155,3.76214048063887,-3.57591458664971,0,0,-2.07299946411795,-2.39298818676735,-2.59075453823767,-2.20254200836009,0,0,0,0,0,-2.20401824647954,-3.32805040220649,0,0,2.7496710554607,0,0
0,0,0,0,0,0,0,0,0,0,0,3.20872630988768,3.43978236674616,0,0,0,-2.19877599786591,0,0,0,-2.768763198546,3.87393375055322
-3.19457036316586,0,3.10881596219885,-2.44858469948747,0,0,-3.02468602067597,-2.76498421546991,-2.32286167938419,0,0,0,0,0,0,-2.30087523360058,0,0,0,0,0,0
-2.49165805972494,0,4.91817624984628,-3.34221432761115,0,0,0,-3.418398395433,-3.11179412464443,0,0,2.73391768161697,3.4061282266698,-2.24610556522889,0,0,-3.79913198263385,0,0,2.70609467232841,-3.58241386927408,0
0,0,3.59534812620691,-3.12935694801645,0,0,-2.91600541606146,0,0,0,2.41495470201857,0,0,-2.37169004038477,0,-2.93293282159303,0,-3.29707756423695,-2.86125192854309,0,0,0
2.38235850704246,0,0,2.39166624973245,0,0,5.80101157077396,0,0,0,-3.92992083865424,3.99668644542882,3.44312841037411,0,0,3.34271498104024,0,3.16568605571617,0,0,0,2.3705623570216
0,0,-3.27127650212724,2.38976195460811,0,0,0,0,0,3.93177711058224,0,-2.74896248212885,0,-2.24442952336606,0,0,3.13770657386968,0,-2.7652048966383,-2.16677707698861,0,-5.83096038195567
2.92269554536121,0,-4.7181629075311,3.30688906604981,0,0,2.36953509714832,0,0,5.29682979835879,0,-2.51658246760251,0,0,0,0,3.59969984219103,0,0,-2.09601278964058,0,-4.89191805878909
0,0,0,3.4009987502856,0,1.9779811028774,7.04103015802551,0,0,2.75156506440787,-3.66995613764697,3.99035810585102,4.19716304410184,0,0,3.93137270141046,0,3.16761138793172,0,0,-3.46915365303166,2.04585143102971
-5.32233728177719,-5.33604184349639,0,0,0,0,0,-2.26906969338006,-2.31468548031738,0,0,0,2.71318007164944,-3.40473479830654,0,0,0,-3.61248545784387,0,0,-3.48663133413161,-7.74618876655468
