"D.Cardiomet.Thrombosis","D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.DiabetesT2","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.Stomach.Ulcer","D.GI.Gallstones","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Rheumatoid.Arthritis","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","ACE_inhibitors_ATC_C09AA","Antibacterials_ATC_J01","Antipsychotics_atypical_ATC_N05AH","Beta_blokkers_ATC_C07AB","Biguanides_ATC_A10BA","Calcium_antagonists_ATC_C08CA","Corticosteroids_Eyedrops_ATC_S03A","Corticosteroids_Oral_ATC_H02","Fluorochinolons_ATC_C08DA","Intestinal_antiinflammatory_agents_ATC_A07E","Laxatives_osmotic_ATC_A06AD","Laxatives_volume_increasing_ATC_A06AC","Other_Alimentary_Metabolism_ATC_A","PPIs_ATC_A02BC","Salycilates_ATC_B01AC","Seratonine_uptake_inhibitors_selective_ATC_N06AB","Statines_ATC_C10AA","Sulfonylureumderivaties_ATC_A10BB","Tricyclic_antidepressants_ATC_N06AA","Vitamine_B_ATC_A11DA","D.GI.IBS.Any","D.GI.IBS.TypeM","D.GI.IBS.TypeD","D.GI.FGID.Bloating","D.GI.Discomfort.Unwell","D.GI.Discomfort.Pain","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Burping","D.GI.Discomfort.Nausea","General Health"
0,0,-2.60101582498332,0,-2.90687954037992,0,-5.188136425655,-2.85422866338667,0,0,0,0,-2.80172635991948,-2.75470873890374,-2.86875744903597,-4.20234967583519,0,-2.48578876697267,0,0,-2.20131569202043,-2.15219406113795,-5.04549049041714,-5.15880950649644,-2.62241058284665,-2.07151053092153,-7.21565855436458,0,-2.87487623516918,-4.55085733761334,0,-2.53785251112977,0,0,0,0,0,-2.50125326074464,0,0,-2.18224787327331,0,-2.14763185170531,0,0,-3.51088257788063,-3.84468403448803,-2.40442309612209,0,-2.4101952667506,0,0,-2.43688792377221,-2.99833714204357,4.26701925655052
0,0,0,4.61989175568244,0,0,3.05628284672461,0,0,2.0371531552963,0,0,0,0,0,0,2.82293504495155,2.5627538043201,0,0,2.97161756698553,0,2.45060369121425,3.04550950476699,0,0,0,0,4.11193125762229,0,5.1070597478558,2.73829423304982,0,0,0,0,0,4.09525322064972,10,5.26557894376884,0,6.64698266317054,0,3.3501385534743,0,3.15104237830919,0,1.99331069625404,0,0,0,0,2.12262370527891,2.02339698077013,-3.00736992707071
0,0,0,0,0,0,-2.32267162780576,-2.90798540281719,0,0,0,0,-2.02334845555291,0,-2.70746498367622,-3.49404842343832,0,-2.25443079041252,0,0,0,-2.36640872643751,0,-2.93587410227718,0,0,-3.53789834446434,0,-2.75443986654825,-2.31785426162399,0,-3.5658423650495,0,0,0,0,0,-3.10951849396281,0,0,0,2.17487216300179,0,0,0,-3.16232352445648,-4.12774156416155,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.32075994414671,3.18712743623549,3.29053463054505,2.48119406516362,0,0,0,0,0,0,0,0,0,0,2.63980842037921,0,5.42608803949788,2.43500037405274,2.38317700170613,0,0,2.1943077350603,2.12776178182878,0,0,0,0,0,0,0,2.78846565261849,0,0,0,0,0,0,0,0,2.06100062745641,0,0,0,2.85040391601803,-5.10044724234398
2.35541184568147,0,2.7010271584127,2.20868506287351,3.23551972985351,0,2.30505317704288,0,3.47733701283013,0,2.95525764005665,2.20583475729847,2.57773676981627,2.83906533534175,0,3.80896440060207,2.70150732843169,0,2.35569562466799,2.88815464194303,3.32528983159514,2.47465298205678,2.55808214239965,4.89062666777866,3.27042721504329,0,5.54136466236537,2.48234321090872,0,2.54209542499706,0,3.18524464976022,2.07892717466123,0,3.95383957606775,2.19012407022983,2.52664508886923,2.59130697078223,0,0,2.02744450463634,0,0,2.47688434891795,2.48011316479325,3.91680769225213,2.63792125158119,3.98962512343395,0,3.36230501758869,5.22075881613391,0,2.44566099898137,3.46059637851817,-6.97797294604104
0,0,0,0,0,0,-3.53971477089433,-2.68511957823155,-3.62675245323928,0,0,0,-3.98943926854921,-2.43672529723923,0,0,0,0,0,0,0,0,0,0,0,0,-2.34691413988708,0,0,-2.43937777757256,0,0,0,0,0,0,0,-2.42385491825899,-3.52140269067386,0,-2.06078271491736,0,-2.16119166574632,0,-2.51061564507212,-2.233923534123,0,-2.79866642347883,-2.40590050987592,0,0,0,0,0,4.25068252564978
0,-2.13662461675766,0,-3.13087554408272,0,0,-2.30813293438647,-3.48123127365153,0,0,0,-2.28652632384367,-1.9927781983403,0,-2.38579852858598,0,0,-2.36751119142212,0,-1.97988444785835,-3.1400413298728,0,0,-2.0028837836789,-2.09118222187439,0,-4.11711203641071,0,0,-2.56894176987382,0,-2.48291449392722,0,0,0,-3.77926877190663,-2.30396988330048,0,-3.03198398382146,-2.22996882929597,0,0,0,0,-2.56998885077389,0,0,0,-2.10183177918315,0,-2.06220092420306,0,0,-2.62080086793687,3.87393375055322
0,-2.88310552794552,0,-4.67199372229109,-2.24103026419295,0,-3.24948405432549,0,-2.67390530502018,0,0,0,0,0,0,-2.07451695645024,0,0,0,-3.24310830854949,0,-2.14780104713447,-2.04599452579614,-2.44716331946582,-3.45621850617305,-2.46344766445498,-2.6155704972965,0,-3.86684387790811,-2.93381275223867,0,0,-2.00206184232156,0,-2.02222199027055,-1.99687922145154,0,0,-3.06707145931853,0,0,-2.06177198343947,-2.141537577897,-2.57189789084137,0,-2.87860877562121,0,0,0,-2.11073903962842,0,0,0,0,2.8845337178834
0,-3.1769189467372,0,-4.34074230729189,-2.68640735008646,0,-2.83026777930622,0,0,0,0,0,0,0,0,-2.35912021564427,0,0,-2.08558983434329,-3.46873006866339,0,0,-2.11687449251372,-2.79302881379964,-3.55837943484559,-2.46254092612713,-2.35322034933305,0,-4.01765692390391,-2.7338632297365,0,0,-2.1516958270099,0,0,0,0,0,-2.81083934411646,0,0,0,-2.38721908340463,-2.36362151616649,0,-2.85046252855081,0,0,0,0,0,0,0,-2.08126528204038,2.9243489002038
0,0,-3.10922339573207,-3.29430764867452,-3.65420662337922,-3.06719586517482,0,-2.27119449873245,0,0,0,0,0,0,0,0,-2.48724136504106,0,0,0,0,0,-2.8870765054811,-2.19258010229983,-2.19248513700066,-2.35408621171246,-3.52068986382973,0,-2.84575551438818,0,0,-3.63146617612749,0,0,-1.98652028107721,0,0,0,0,0,0,0,0,0,0,-2.15982111881828,0,0,0,-2.28570346506148,0,-4.260717690577,0,0,3.03375405907473
