"Birth Length","Birth Mode","Birth Weight","Breastfed 0-4 W","Breastfed 1-3 M","Breastfed 3-6 M","Breastfed 6M+","Pregnant Mother Smoking","Preterm Birth","Childhood Urbanicity","Childhood Parents Smoking","Childhood Pets","Childhood Pets Dog","Childhood Pets Cat"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.90293708620304,0,0,0,0
0,0,0,0,0,-3.07967910466253,0,0,0,3.64593571356684,0,0,0,0
0,0,0,0,0,0,0,0,0,3.45929115598854,0,0,0,0
0,0,0,0,2.96916552772884,-2.08502923585975,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-5.30579567889617,0,0,0,0
-4.09093966054434,0,0,0,0,0,0,2.55151858138927,0,0,0,0,0,0
0,0,0,0,0,0,0,2.1101416492687,0,5.01075285975665,0,0,0,0
0,0,0,0,0,0,0,3.05428246444566,0,0,0,0,0,0
0,0,3.1330714097418,0,0,0,0,0,0,2.84058463318829,0,0,0,0
0,0,2.2118763816413,0,2.37050549269173,0,0,0,0,-5.0487329874922,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.2599147285141,0,0,0,0
0,0,0,0,2.12514384596423,0,0,0,0,-5.39307192598017,0,0,0,0
0,0,0,0,0,0,0,2.7177008921764,0,0,3.44715291930699,0,0,0
-2.02124262942,3.03148938804581,0,0,0,0,0,0,0,2.90020609545996,-3.08995702126004,0,0,2.00754466561289
0,0,0,0,0,0,0,0,0,0,0,-3.24124827129812,-3.78815922481524,0
0,0,0,2.17921468909113,0,0,0,0,0,-4.09461402071364,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.58239268391379,0,0,-2.15906844169364,0
0,0,0,0,0,2.93425376144617,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-3.30563461916223,-3.06580510989776,0
0,0,0,0,0,0,0,0,0,-3.01809614222921,0,0,0,0
0,0,0,0,0,0,-3.01284420880224,0,0,-2.24774577658359,0,0,0,0
0,0,0,0,0,0,0,2.72876230497641,0,-3.01299040472278,0,0,0,0
0,0,-2.29995711599905,0,0,0,0,0,0,-3.030930992626,0,0,0,0
0,0,3.06318789262453,0,0,0,0,0,0,3.12142126433362,0,0,0,0
0,0,0,0,3.06380304530821,0,0,0,0,0,0,0,0,0
0,0,0,-2.03695334289938,0,0,0,2.0026920851035,0,0,3.25395315347908,0,0,0
0,0,0,0,0,0,0,2.02837208810737,0,2.95048927519343,0,0,0,0
0,0,-3.45265357319062,0,-2.00906125708908,0,0,0,0,0,3.90735984949689,2.78376694296705,2.22462821960017,0
0,0,0,0,0,0,0,2.00216102876049,0,-3.31945206455689,0,0,0,0
0,0,0,0,0,0,0,0,0,3.25683680348652,0,0,0,0
0,0,0,0,0,0,-3.3429321029353,0,0,-2.03661465899934,2.68271771900439,0,0,0
0,0,0,0,0,0,0,4.05052146249469,0,0,3.42912064685144,2.37395996721645,2.87744563619424,0
0,0,0,0,0,0,0,0,0,-4.07159505973484,0,-2.71614081029217,-2.36924575850108,-3.63140265113985
0,0,0,0,0,0,0,0,0,4.01947834310306,0,0,0,0
0,0,0,0,0,0,0,0,0,3.87446154912369,0,0,0,0
0,0,0,0,0,0,2.06200392215537,0,0,0,-3.80203526834414,0,0,0
0,0,0,0,0,2.00419687556792,2.4142874871723,0,0,0,-3.86789446885327,0,0,0
0,0,0,0,0,0,0,0,0,-4.26286904337319,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.27173174563095,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.59087202225641,0,0,0,-2.02094580005141
0,0,0,2.45962534434932,0,0,0,0,0,-3.74546099686122,0,-2.22191609872193,0,-2.24540178076489
0,0,0,2.37196669754358,0,0,0,0,0,-4.85515662546943,0,-3.32538120564004,-2.32171952580027,-2.98203200259929
0,0,0,0,0,0,0,0,0,-4.6867550413466,0,0,0,0
0,0,0,0,0,0,-2.13201171020412,0,0,3.19107339698096,0,0,0,0
0,0,0,0,0,0,3.38194352636139,2.14735022556623,0,2.62093551066436,-4.30222053987449,0,0,0
0,0,0,0,0,0,0,-2.21449394208801,0,8.42000582734473,0,0,2.33291347267362,2.26505219431083
0,0,0,0,0,0,0,0,2.13643949421385,3.8662434887541,0,0,2.41767370560171,0
0,0,0,0,2.00764835695945,0,0,0,0,-3.62408432949237,0,0,0,0
