"Greenspace NDVI","Pet ownership","Pet ownership Cat","Per ownership Dog","NO2 Concentration","PM2.5 Concentration","Smoking Passive","Smoking Active","Smoker Active, 1 Year+","Smoker, Stopped","Urbanicity","General Health"
0,0,0,0,0,-3.11315346002735,0,0,0,0,0,0
0,0,0,0,-2.79176906358937,0,0,-5.37042150219257,-3.22751704672212,0,2.18302006820812,0
0,-2.49517062369034,0,0,0,0,0,3.38554996072688,2.1361757719207,0,0,-5.10044724234398
-3.4732722918323,-2.40679542147937,0,-2.38304657396001,0,0,0,3.26774414759139,2.08464420261919,0,0,-6.97797294604104
2.50601889613864,0,0,0,-2.95914994889812,0,0,0,0,0,0,2.93188931190015
3.87822002139121,0,0,3.07173541334864,-3.01240578177067,-3.14087940183277,0,0,2.07861280999069,0,2.91004866338072,0
2.93641235687056,0,0,0,0,-3.19439364950316,0,0,0,0,0,2.96901907964341
-3.7252607349512,-2.2365447857112,0,-2.367103241479,2.92387456485087,3.18185284721265,0,0,0,0,-3.38573157254638,-3.97619116811184
2.97929977187181,4.1459012605536,3.16507931578141,4.18900337488265,-2.02880440774078,-4.16277663431064,2.22783179988577,0,0,0,0,2.62355275536414
0,0,0,0,3.51905448093758,2.20225302030426,0,0,0,0,-3.8100711586724,0
3.03649586940616,0,0,0,-3.04724489525765,0,0,0,0,0,2.2324983700818,0
0,0,0,0,0,0,0,-3.91405837441283,0,2.38100231386544,0,3.87393375055322
0,3.03182340087164,0,2.92535992621188,0,0,0,2.21124839518241,0,0,0,0
0,4.90784317225362,3.31461040275,5.32717223154142,-2.22518378123685,0,0,0,0,0,0,3.03375405907473
0,-3.05873479794414,0,-3.02788760546866,2.90458528575398,0,-2.04328264423641,-3.51145370236381,-2.72758616724903,0,0,2.63718831934618
0,-3.3368573997396,0,-4.19190049107286,2.58470177120793,0,-2.11689103610688,-2.30180113720288,0,0,0,0
0,-2.11816456544398,0,0,0,0,0,-2.9721151332399,0,0,0,3.55968029773787
0,0,0,0,0,0,0,-3.96198465884451,-3.03812873979656,0,0,2.3705623570216
0,0,0,0,0,0,0,-3.7061352075203,-2.04950675826875,0,0,-4.89191805878909
-3.9249583166997,0,0,0,0,0,0,3.0917393147271,4.11232185319473,0,-2.43340076303316,-6.04511179625298
-3.65217198655781,0,0,0,0,0,4.94641723637265,5.4212234297768,3.56191446919039,0,0,-5.69297082329223
0,2.05904782992646,0,0,0,0,3.83881566216905,4.01053914919719,4.64411169151538,0,0,-6.62749040238022
0,0,0,0,0,0,-4.47871202831317,-7.27971303668233,-2.67442638361647,0,0,3.12542808675011
0,-3.01215928313447,0,-3.7494768702773,0,0,0,-2.10853339082124,0,0,0,2.89168902365704
-2.73227549352703,0,0,0,0,0,0,4.96185329292654,4.01357615906561,0,-2.56173161625417,-5.3571722510764
0,0,0,2.7103421085394,0,0,2.62521160981907,3.87737579080743,0,0,0,-3.13446347981205
2.38209037291286,0,0,0,0,0,-2.36256760479452,-3.11764368464643,0,0,0,5.85590266907742
0,-2.45061750475091,0,-2.86560023464165,0,0,-2.35976878341631,-5.2067686436913,-3.05147626384994,0,0,2.04283731821098
0,-2.92752596411746,0,-3.37554686929029,2.15454941470547,0,-2.51683722732683,-2.18270572709358,-2.78972916589795,0,0,0
0,-3.52712904758234,-1.96111434039762,-2.73835480473818,0,0,-5.43051435225386,-7.48364829236217,-3.90907082808428,0,0,4.46724301371352
0,0,0,0,0,0,0,3.19538174130209,3.85210682456716,2.40549806536881,0,0
2.05240412350396,0,0,0,-2.53668750100096,-3.08049619884178,0,0,0,0,3.51828807698079,0
0,0,0,0,0,0,6.4085552536876,7.90835814335143,6.44940433822756,0,0,-8.09951198685902
-3.15452077957278,0,0,0,0,0,2.03701754955351,5.65064389425055,4.82762081895809,0,0,-5.32526005217475
