Taxon,Taxon_Shortname,pvalue,Persons,loglik,H2,SEH2,Va,SEVa,Ve,SEVe,mu,SEmu,ANTHRO.AGE,SEANTHRO.AGE,ANTHRO.AGE2,SEANTHRO.AGE2,gender,SEgender,ANTHRO.BMI,SEANTHRO.BMI,META.DNA.postclean.reads,SEMETA.DNA.postclean.reads,META.POOP.Freq,SEMETA.POOP.Freq,Varmu,VarANTHRO.AGE,VarANTHRO.AGE2,Vargender,VarANTHRO.BMI,VarMETA.DNA.postclean.reads,VarMETA.POOP.Freq,FDR
k_Archaea.p_Euryarchaeota,p_Euryarchaeota,0.47,4745,-560.73,0.0302,0.0335,0.0141,0.0161,0.452,0.0184,0.0529239,0.0346406,-0.00515133,0.00317517,2.02E-05,3.56E-05,-0.0385552,0.0200323,0.00862562,0.00288321,-1.20E-08,2.09E-09,0.0571987,0.0182481,0.0159989,0.0178855,0.00118071,0.000371176,0.0104989,0.0218932,0.00181776,1
k_Archaea.p_Euryarchaeota.c_Methanobacteria,c_Methanobacteria,0.39,4745,-524.06,0.0354,0.0335,0.0163,0.0159,0.4427,0.0182,0.0465253,0.0343773,-0.00598624,0.00315085,3.11E-05,3.53E-05,-0.0345693,0.0198787,0.00864246,0.00286131,-1.16E-08,2.07E-09,0.0625969,0.0181096,0.0155313,0.0241529,0.00278687,0.000298397,0.01054,0.0206154,0.00217705,1
k_Archaea.p_Euryarchaeota.c_Methanobacteria.o_Methanobacteriales,o_Methanobacteriales,0.39,4745,-524.06,0.0354,0.0335,0.0163,0.0159,0.4427,0.0182,0.0465284,0.0343773,-0.00598587,0.00315084,3.11E-05,3.53E-05,-0.0345716,0.0198787,0.00864211,0.00286131,-1.16E-08,2.07E-09,0.0625956,0.0181096,0.015531,0.0241499,0.00278611,0.000298436,0.0105391,0.0206147,0.00217696,1
k_Archaea.p_Euryarchaeota.c_Methanobacteria.o_Methanobacteriales.f_Methanobacteriaceae,f_Methanobacteriaceae,0.39,4745,-523.98,0.0354,0.0335,0.0163,0.0159,0.4426,0.0182,0.0465246,0.0343767,-0.00598597,0.00315079,3.11E-05,3.53E-05,-0.0345686,0.0198783,0.00864251,0.00286126,-1.16E-08,2.07E-09,0.0625933,0.0181093,0.0155308,0.0241508,0.00278615,0.000298384,0.0105401,0.0206148,0.0021768,1
k_Archaea.p_Euryarchaeota.c_Methanobacteria.o_Methanobacteriales.f_Methanobacteriaceae.g_Methanobrevibacter,g_Methanobrevibacter,0.39,4745,-523.74,0.0354,0.0335,0.0163,0.0159,0.4426,0.0181,0.0465204,0.0343749,-0.00598573,0.00315063,3.11E-05,3.53E-05,-0.0345662,0.0198773,0.00864179,0.00286111,-1.16E-08,2.07E-09,0.0625892,0.0181083,0.015529,0.0241488,0.00278598,0.000298343,0.0105383,0.0206114,0.00217651,1
k_Bacteria.p_Actinobacteria,p_Actinobacteria,0.00026,4745,-2780.4,0.1693,0.0314,0.202,0.0442,0.9914,0.0462,0.181792,0.0553769,0.00443962,0.00506247,-0.00018903,5.66E-05,-0.0880875,0.0319981,0.0146954,0.0046098,7.48E-08,3.32E-09,-0.0923789,0.0291816,0.864997,0.0132847,0.103091,0.0019375,0.030474,0.850208,0.00474142,0.05564
k_Bacteria.p_Actinobacteria.c_Actinobacteria,c_Actinobacteria,0.00026,4745,-2780.42,0.1692,0.0315,0.202,0.0442,0.9915,0.0462,0.181783,0.0553771,0.00444034,0.0050625,-0.000189042,5.66E-05,-0.0880785,0.0319983,0.0146977,0.00460982,7.48E-08,3.32E-09,-0.0924046,0.0291817,0.865005,0.0132891,0.103105,0.0019371,0.0304836,0.850187,0.00474406,0.05564
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales,o_Actinomycetales,0.019,4745,-3145.02,0.1048,0.0325,0.1454,0.05,1.2421,0.0545,0.104293,0.0597804,0.00143611,0.00547325,-3.45E-05,6.12E-05,-0.0786161,0.0345475,0.0195145,0.0049761,-4.69E-08,3.59E-09,0.00873257,0.0314962,0.149474,0.00139008,0.0034291,0.00154325,0.0537376,0.333541,4.24E-05,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae,f_Micrococcaceae,0.019,4745,-2985.03,0.1018,0.0326,0.132,0.0467,1.1649,0.0509,0.119045,0.0577968,-0.00201905,0.00529196,-1.21E-05,5.92E-05,-0.0902533,0.0334017,0.0267938,0.00481097,-4.58E-08,3.48E-09,0.0161069,0.0304509,0.121174,0.00274761,0.000422917,0.00203394,0.101306,0.319111,0.000144142,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia,g_Rothia,0.015,4745,-2985.17,0.1055,0.0325,0.1369,0.0468,1.1603,0.0509,0.119589,0.0578004,-0.00182519,0.0052919,-1.40E-05,5.92E-05,-0.0907089,0.0334031,0.0268145,0.00481129,-4.60E-08,3.47E-09,0.0161207,0.0304531,0.121433,0.00224531,0.000562001,0.00205453,0.101462,0.321742,0.000144387,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Actinomycetales.f_Micrococcaceae.g_Rothia.s_Rothia_mucilaginosa,s_Rothia_mucilaginosa,0.021,4745,-3021.57,0.0996,0.0326,0.1311,0.0474,1.1858,0.0517,0.133994,0.0582424,-0.00330581,0.00533298,7.47E-06,5.96E-05,-0.101531,0.0336596,0.0277414,0.00484805,-4.61E-08,3.50E-09,0.0225919,0.0306855,0.119207,0.00736577,0.000161042,0.00257399,0.108598,0.322453,0.000283577,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales,o_Bifidobacteriales,0.013,4745,-3655.88,0.1177,0.0323,0.2026,0.0624,1.5192,0.0674,0.21746,0.0665827,-0.00241214,0.00609446,-0.000167341,6.81E-05,-0.113022,0.0384763,0.0112124,0.00554239,7.00E-08,4.00E-09,-0.129353,0.0350813,0.526229,0.00392164,0.0807916,0.00318964,0.0177402,0.743984,0.00929641,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae,f_Bifidobacteriaceae,0.013,4745,-3655.9,0.1177,0.0323,0.2026,0.0624,1.5192,0.0674,0.217457,0.0665831,-0.0024148,0.00609449,-0.000167317,6.81E-05,-0.113016,0.0384765,0.0112134,0.00554242,7.00E-08,4.00E-09,-0.129339,0.0350814,0.526246,0.00393029,0.0807682,0.00318927,0.0177437,0.74402,0.00929446,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium,g_Bifidobacterium,0.0094,4745,-3639.92,0.1235,0.0322,0.2113,0.0622,1.4994,0.0669,0.216913,0.0663618,-0.00308148,0.00607348,-0.000157856,6.79E-05,-0.112724,0.0383478,0.0112213,0.00552403,7.02E-08,3.99E-09,-0.12515,0.0349654,0.526407,0.00639998,0.0718925,0.00317283,0.0177686,0.748026,0.00870218,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_adolescentis,s_Bifidobacterium_adolescentis,0.022,4745,-3812.54,0.1013,0.0326,0.1861,0.0661,1.652,0.0722,0.20464,0.0688083,-0.00395378,0.00630026,-0.000147109,7.05E-05,-0.112231,0.0397656,0.0141733,0.00572756,4.87E-08,4.14E-09,-0.125637,0.0362524,0.256469,0.0105363,0.0624369,0.00314512,0.0283469,0.360739,0.00876999,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_bifidum,s_Bifidobacterium_bifidum,0.059,4745,-487.71,0.0611,0.0332,0.0276,0.0159,0.4245,0.0178,-0.0165507,0.0341292,-0.0129722,0.00312705,8.51E-05,3.50E-05,0.0179011,0.0197297,0.00547783,0.00284076,1.37E-08,2.05E-09,-0.00104589,0.0179797,0.0103906,0.11342,0.0208824,8.00E-05,0.0042343,0.0284942,6.08E-07,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_catenulatum,s_Bifidobacterium_catenulatum,0.016,4745,-641.03,0.0857,0.0328,0.0413,0.0172,0.4413,0.019,-0.122572,0.035261,0.000962642,0.00322949,3.98E-05,3.61E-05,0.0754716,0.0203799,-0.00347341,0.00293505,-8.85E-09,2.12E-09,-0.0410784,0.018577,0.0145571,0.000624585,0.00457809,0.00142226,0.00170247,0.0119082,0.000937542,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_longum,s_Bifidobacterium_longum,0.00054,4745,-3103.92,0.1511,0.0318,0.2064,0.0503,1.1601,0.0532,-0.0300018,0.0592816,-0.00061071,0.00542202,-4.97E-05,6.06E-05,0.0247906,0.0342544,-0.0162162,0.00493478,3.52E-08,3.56E-09,-0.135873,0.0312374,0.0442545,0.00025138,0.00712859,0.000153457,0.0371074,0.187898,0.0102573,0.11178
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_pseudocatenulatum,s_Bifidobacterium_pseudocatenulatum,0.4,4745,463.44,0.0295,0.0336,0.0089,0.0105,0.2937,0.012,0.00821872,0.0279152,0.00508745,0.00255874,-4.32E-05,2.87E-05,-0.00939943,0.0161432,-0.00284924,0.00232344,-4.24E-09,1.68E-09,-0.0580463,0.0147053,0.00417461,0.0174446,0.00537851,2.21E-05,0.00114557,0.00272606,0.00187203,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales,o_Coriobacteriales,9.80E-07,4745,-2178.4,0.2205,0.0305,0.2049,0.0349,0.7242,0.0355,0.0168529,0.048775,0.00395945,0.00445206,-7.15E-05,4.97E-05,-0.0118424,0.0281877,0.00159087,0.00406035,3.14E-08,2.92E-09,-0.079806,0.0257076,0.138381,0.0105665,0.0147666,3.50E-05,0.000357138,0.149734,0.00353862,0.00022834
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae,f_Coriobacteriaceae,9.80E-07,4745,-2178.43,0.2205,0.0305,0.2049,0.0349,0.7242,0.0355,0.0168521,0.0487754,0.00395684,0.0044521,-7.15E-05,4.97E-05,-0.0118369,0.0281879,0.00159207,0.00406038,3.14E-08,2.92E-09,-0.0797924,0.0257077,0.13839,0.0105526,0.0147559,3.50E-05,0.000357674,0.149749,0.00353741,0.00022834
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia,g_Adlercreutzia,1,4745,-3320.79,0,0.0339,0,0.0518,1.5288,0.0605,0.0686495,0.0627069,-0.00515408,0.00574932,0.000144839,6.44E-05,-0.0669044,0.0362781,-0.00940237,0.00521897,-2.98E-08,3.78E-09,-0.0213235,0.0330314,0.193895,0.0179045,0.0605247,0.00111769,0.012475,0.135253,0.000252628,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Adlercreutzia.s_Adlercreutzia_equolifaciens,s_Adlercreutzia_equolifaciens,1,4745,-3308.16,0,0.0339,0,0.0515,1.5207,0.0602,0.0680431,0.0625404,-0.00528499,0.00573406,0.000145495,6.43E-05,-0.0664374,0.0361818,-0.0091701,0.00520512,-2.98E-08,3.77E-09,-0.0195995,0.0329437,0.192029,0.0188256,0.0610743,0.00110214,0.0118663,0.134821,0.00021343,1
k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Collinsella,g_Collinsella,3.30E-06,4745,-2131.08,0.2265,0.0304,0.2063,0.0343,0.7048,0.0347,0.0607104,0.0482897,0.000642602,0.00440688,-4.98E-05,4.92E-05,-0.0442813,0.0279082,0.00425224,0.00401995,3.00E-08,2.89E-09,-0.0609434,0.0254524,0.121687,0.000278321,0.00714355,0.000489614,0.00255153,0.136945,0.00206356,0.000759
