 T  k__Archaea.p__Euryarchaeota 
 T  k__Bacteria.p__Actinobacteria 
 T  k__Bacteria.p__Bacteroidetes 
 T  k__Bacteria.p__Firmicutes 
 T  k__Bacteria.p__Proteobacteria 
 T  k__Bacteria.p__Verrucomicrobia 
 T  k__Archaea.p__Euryarchaeota.c__Methanobacteria 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia 
 T  k__Bacteria.p__Firmicutes.c__Bacilli 
 T  k__Bacteria.p__Firmicutes.c__Clostridia 
 T  k__Bacteria.p__Firmicutes.c__Erysipelotrichia 
 T  k__Bacteria.p__Firmicutes.c__Negativicutes 
 T  k__Bacteria.p__Proteobacteria.c__Betaproteobacteria 
 T  k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria 
 T  k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria 
 T  k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae 
 T  k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales 
 T  k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales 
 T  k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales 
 T  k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales 
 T  k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales 
 T  k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales 
 T  k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales 
 T  k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales 
 T  k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales 
 T  k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidales_noname 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae 
 T  k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae 
 T  k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Oscillospiraceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae 
 T  k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae 
 T  k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae 
 T  k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Veillonellaceae 
 T  k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiales_noname 
 T  k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae 
 T  k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae 
 T  k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae 
 T  k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae 
 T  k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae 
 T  k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae 
 T  k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Micrococcaceae.g__Rothia 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Collinsella 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella 
 T  k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Coriobacteriales.f__Coriobacteriaceae.g__Gordonibacter 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidales_noname.g__Bacteroidales_noname 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Barnesiella 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Odoribacter 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella 
 T  k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes 
 T  k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus 
 T  k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Flavonifractor 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Pseudoflavonifractor 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Eubacterium 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Butyrivibrio 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea 
 T  k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_noname 
