"Trait","Trait.short","N","Nz","Prev","Model","VE_ID","CI_ID","LogL_ID","Pv_ID","FDR_ID","SW_PV_ID","SW_FDR_ID","VE_COHOUSING.ID_DMP","CI_COHOUSING.ID_DMP","LogL_COHOUSING.ID_DMP","Pv_COHOUSING.ID_DMP","FDR_COHOUSING.ID_DMP","SW_PV_COHOUSING.ID_DMP","SW_FDR_COHOUSING.ID_DMP","VE_famID","CI_famID","LogL_famID","Pv_famID","FDR_famID","SW_PV_famID","SW_FDR_famID","VE_Residual","CI_Residual","LogL_Residual","Est_Age","SE_Age","P.Chisq_Age","Est_Sex","SE_Sex","P.Chisq_Sex","Est_META.DNA.postclean.reads","SE_META.DNA.postclean.reads","P.Chisq_META.DNA.postclean.reads","Est_META.POOP.Freq","SE_META.POOP.Freq","P.Chisq_META.POOP.Freq"
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia","g__Akkermansia",3571,1791,78.18,"heritability.only",0.320956596028397,"0.2-0.44",-10911.7273559008,4.54134839867642e-07,5.08631020651759e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679043403971603,"0.56-0.8",-10899.0026473432,0.0183053847186506,0.00519598050980203,0.000426708283528217,-0.507897513995567,0.172210949729538,0.00318520019893675,2.25795282155623,0.580832856028854,0.00010130705868918,-0.310089456453608,0.107501787810898,0.00392029394201129
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__Akkermansia_muciniphila","s__Akkermansia_muciniphila",3571,1791,78.18,"heritability.only",0.318175902875156,"0.19-0.44",-10914.9325720706,5.69343852744104e-07,6.31971676545955e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681824097124844,"0.56-0.8",-10902.4258911505,0.0182536276630336,0.00520052953750609,0.000448181560597696,-0.508905093413073,0.172380593167518,0.00315500082643932,2.28111486762794,0.581398813148898,8.7273869715508e-05,-0.306878831069566,0.107606521236521,0.00434641149937873
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales","o__Verrucomicrobiales",3571,1791,78.18,"heritability.only",0.318169668001543,"0.19-0.44",-10912.8572472621,5.80490865487688e-07,6.38539952036457e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681830331998457,"0.56-0.8",-10900.3692584741,0.0182610001625792,0.00519753429747205,0.000442416304144719,-0.504507307001616,0.172281353190095,0.00340720365857095,2.2820070629537,0.581064086264758,8.59084426003235e-05,-0.307969725095581,0.107544569255635,0.00418793923882643
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae","c__Verrucomicrobiae",3571,1791,78.18,"heritability.only",0.317901825237597,"0.19-0.44",-10912.6730681177,5.81001705481386e-07,6.38539952036457e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682098174762403,"0.56-0.8",-10900.1859272972,0.0182146174110134,0.00519722530420348,0.000457154485528831,-0.502732329927181,0.17227293573306,0.00352022749797738,2.28623740742154,0.581035095776701,8.32776323089498e-05,-0.311186051978345,0.107539202496417,0.00380733293115585
"k__Bacteria.p__Verrucomicrobia","p__Verrucomicrobia",3571,1791,78.18,"heritability.only",0.3166093979845,"0.19-0.44",-10910.2234921252,6.87011138623286e-07,7.41972029713149e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6833906020155,"0.56-0.8",-10897.8978802409,0.0181953925730585,0.00519369215777828,0.000459421707572071,-0.507590235866305,0.172164639917245,0.00319543462073268,2.25295575555206,0.580666939793551,0.000104480112675723,-0.314404540700341,0.107471058695016,0.00343924172542719
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae","f__Verrucomicrobiaceae",3571,1791,78.18,"heritability.only",0.315846096878605,"0.19-0.44",-10911.7674988271,6.98047447684021e-07,7.46910769021902e-05,0.000389105058365759,0.043579766536965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684153903121395,"0.57-0.8",-10899.4572427919,0.0183983545940894,0.00519583927872374,0.000398646230241618,-0.508904521829929,0.172241039143394,0.00313067912826413,2.29687698830899,0.580922897117952,7.69064047176835e-05,-0.309174241078613,0.107518429639572,0.00403328767700298
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__Clostridium_citroniae","s__Clostridium_citroniae",3571,7761,5.43,"heritability.only",0.246188775903257,"0.13-0.36",-6968.80660233481,2.91105899994469e-05,0.00308572253994137,0.00155642023346304,0.155642023346304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753811224096743,"0.64-0.86",-6960.0690866929,-0.00371378172149174,0.00171971795855148,0.0308091086045064,-0.264964657556539,0.0571815501630337,3.591112635159e-06,0.0256004171927265,0.192801963148255,0.894366664268336,0.0801594886355882,0.0356847539122606,0.0246833171135579
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens","s__Phascolarctobacterium_succinatutens",3571,5874,28.43,"no-family",0.281485415090882,"0.15-0.4",-11226.4280755814,2.95329517002127e-05,0.00310095992852233,0.000389105058365759,0.043579766536965,0.269583218150384,"0.22-0.32",-11262.1839242744,4.03010296257852e-21,7.25418533264134e-19,0,0,NA,NA,NA,NA,NA,NA,NA,0.448931366758733,"0.33-0.57",-11217.7042517576,0.0603637162971022,0.0059604089878559,4.17412250568871e-24,1.17268518869087,0.17429785571343,1.71948447625604e-11,0.24022590813788,0.630556032717764,0.703222006877085,-0.0554224047397664,0.116630781152018,0.634647741946453
"k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Acidaminococcaceae.g__Phascolarctobacterium","g__Phascolarctobacterium",3571,5874,28.43,"no-family",0.281857697573394,"0.15-0.41",-11219.9353618749,3.06139299626678e-05,0.00318384871611745,0.000389105058365759,0.043579766536965,0.268617404104083,"0.22-0.32",-11255.4315313761,5.42425020208668e-21,9.70940786173516e-19,0,0,NA,NA,NA,NA,NA,NA,NA,0.449524898322523,"0.33-0.57",-11211.2457033793,0.0604049633905423,0.00594884342912967,3.17830853876986e-24,1.17281716734732,0.174038520867319,1.5965974341066e-11,0.23650373473221,0.629465040457376,0.707123733236001,-0.0570064070986997,0.116428673362298,0.62439917365365
"k__Bacteria.p__Proteobacteria","p__Proteobacteria",3571,19,99.77,"no-family",0.320035516183549,"0.17-0.46",-6350.51392071774,3.89828295075759e-05,0.00401523143928032,0.000389105058365759,0.043579766536965,0.115984784257062,"0.05-0.18",-6348.61344018988,0.000292265954534279,0.0245503401808794,0.000389105058365759,0.0424124513618677,NA,NA,NA,NA,NA,NA,NA,0.563979699559389,"0.41-0.72",-6342.05377973443,-0.0056291340794274,0.00148521086181522,0.000150571794207107,0.180253712515946,0.0466140008024427,0.00011020789864584,-0.318760682153903,0.162175784004582,0.0493534164511445,0.0825924514367653,0.0299955897319716,0.00589642016772564
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae","f__Bacteroidaceae",3571,9,99.89,"no-family",0.296404181025475,"0.16-0.43",-5530.29992907776,4.55237046461989e-05,0.00464341787391229,0.000389105058365759,0.043579766536965,0.0910710731198818,"0.03-0.15",-5526.87894875264,0.00176037260948619,0.116184592226089,0.000389105058365759,0.0424124513618677,NA,NA,NA,NA,NA,NA,NA,0.612524745854643,"0.48-0.75",-5521.98695042512,-0.00173819556471188,0.00117466995680769,0.138945045775189,-0.0236168871716586,0.037316617963008,0.526812954412447,-0.616973842552814,0.128976380532877,1.72167030762848e-06,0.0783690464848599,0.0238558085652522,0.00101941180356001
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides","g__Bacteroides",3571,9,99.89,"no-family",0.297895976834241,"0.16-0.43",-5544.38179476951,4.91392070076325e-05,0.00496305990777088,0.000389105058365759,0.043579766536965,0.0939617559855677,"0.04-0.15",-5541.37336422354,0.00121712104671529,0.0864155943167856,0.000389105058365759,0.0424124513618677,NA,NA,NA,NA,NA,NA,NA,0.608142267180191,"0.47-0.75",-5536.14127834649,-0.00187180577533504,0.00118002764908715,0.112685123674847,-0.0168351193470016,0.037434668988536,0.652912348209536,-0.604120870845809,0.129483428520251,3.07683276407719e-06,0.0756545695283848,0.0239493672388722,0.00158345098193336
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_noname.g__Clostridiales_noname","g__Clostridiales_noname",3571,7645,6.85,"no-family",0.242172617460494,"0.12-0.36",-8150.12382230398,0.000146028878050983,0.0146028878050983,0.00155642023346304,0.155642023346304,0.102399855310299,"0.04-0.16",-8148.54453745449,0.000790178195005569,0.0592633646254177,0.000389105058365759,0.0424124513618677,NA,NA,NA,NA,NA,NA,NA,0.655427527229207,"0.52-0.79",-8142.91245616863,0.0174429429640001,0.00245053635202279,1.09496200490321e-12,-0.367884067542949,0.0775457067163415,2.09442308799865e-06,-0.231913319479608,0.268768015171267,0.38820595515142,0.0478983436788754,0.0497040617552211,0.335211091968326
