#mpa_v30_CHOCOPhlAn_201901
#/data/S02_kneaddata_cleaned_paired_merged.fastq --input_type fastq --nproc 16 -o /local/tmp/S02_metaphlan.txt --tmp_dir /local/tmp/S02/metaphlan_tmp --bowtie2db /data/dbs --force --add_viruses -t rel_ab_w_read_stats --unknown_estimation
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8362300
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNKNOWN	-1	68.16434	-	17904789
k__Bacteria	2	31.52851	2.66557	8361496
k__Viruses	10239	0.30714	0.02597	804
k__Bacteria|p__Bacteroidetes	2|976	19.65727	1.66192	5595844
k__Bacteria|p__Firmicutes	2|1239	10.84281	0.9167	2570946
k__Bacteria|p__Actinobacteria	2|201174	0.98789	0.08352	185107
k__Viruses|p__Viruses_unclassified	10239|	0.30714	0.02597	804
k__Bacteria|p__Verrucomicrobia	2|74201	0.02403	0.00203	5669
k__Bacteria|p__Proteobacteria	2|1224	0.01652	0.0014	3930
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	19.65727	1.66192	5595844
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.23901	0.86565	2445215
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.68298	0.05774	128681
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.43543	0.03681	78073
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.30714	0.02597	804
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.30491	0.02578	56426
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.08615	0.00728	34697
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.07849	0.00664	12424
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.02403	0.00203	5669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01617	0.00137	3871
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.00374	0.00032	537
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.00035	3e-05	59
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	19.65727	1.66192	5595844
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	10.23901	0.86565	2445215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.68298	0.05774	128681
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.43543	0.03681	78073
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.30491	0.02578	56426
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.08615	0.00728	34697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.07849	0.00664	12424
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.02403	0.00203	5669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01617	0.00137	3871
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00374	0.00032	537
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.00035	3e-05	59
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	8.02613	0.67857	1747768
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.457	0.54591	2321557
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.36793	0.36929	1249792
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	4.27142	0.36113	1213604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.43777	0.29065	868142
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.22986	0.18852	280671
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.68298	0.05774	128681
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.43543	0.03681	78073
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.34997	0.02959	145150
