"CARD.ARO_3000180" "CARD.ARO_3000195" "CARD.ARO_3003559" "CARD.ARO_3000578" "CARD.ARO_3004454" "CARD.ARO_3000190" "CARD.ARO_3000205" "CARD.ARO_3000378" "CARD.ARO_3002654" "CARD.ARO_3000498" "CARD.ARO_3000595" "CARD.ARO_3000250" "CARD.ARO_3002932" "CARD.ARO_3002956" "CARD.ARO_3002950" "CARD.ARO_3002242" "CARD.ARO_3004460" "CARD.ARO_3003361" "CARD.ARO_3000800" "CARD.ARO_3000801" "CARD.ARO_3000802" "CARD.ARO_3002686" "CARD.ARO_3002897" "CARD.ARO_3000464" "CARD.ARO_3002660" "CARD.ARO_3000593" "CARD.ARO_3000522" "CARD.ARO_3000230" "CARD.ARO_3001216" "CARD.ARO_3003378" "CARD.ARO_3003577" "CARD.ARO_3000792" "CARD.ARO_3000793" "CARD.ARO_3000794" "CARD.ARO_3003578" "CARD.ARO_3000833" "CARD.ARO_3000074" "CARD.ARO_3003308" "CARD.ARO_3002986" "CARD.ARO_3000656" "CARD.ARO_3000499" "CARD.ARO_3000502" "CARD.ARO_3000796" "CARD.ARO_3003381" "CARD.ARO_3001214" "CARD.ARO_3002867" "CARD.ARO_3000375" "CARD.ARO_3001816" "CARD.ARO_3000596" "CARD.ARO_3003693" "CARD.ARO_3003030" "CARD.ARO_3003031" "CARD.ARO_3002528" "CARD.ARO_3002705" "CARD.ARO_3002635" "CARD.ARO_3003311" "CARD.ARO_3000167" "CARD.ARO_3000774" "CARD.ARO_3000412" "CARD.ARO_3003297" "CARD.ARO_3000005" "CARD.ARO_3002944" "CARD.ARO_3002923" "CARD.ARO_3003070" "CARD.ARO_3002957" "CARD.ARO_3002695" "CARD.ARO_3002604" "CARD.ARO_3003369" "CARD.ARO_3001796" "CARD.ARO_3003839" "CARD.ARO_3002372" "CARD.ARO_3002628" "CARD.ARO_3004191" "CARD.ARO_3000781" "CARD.ARO_3000782" "CARD.ARO_3002837" "CARD.ARO_3002965" "CARD.ARO_3002909" "CARD.ARO_3003069" "CARD.ARO_3002972" "CARD.ARO_3002539" "CARD.ARO_3002881" "CARD.ARO_3002882" "CARD.ARO_3004042" "CARD.ARO_3003773" "CARD.ARO_3002860" "CARD.ARO_3002639" "CARD.ARO_3003380" "CARD.ARO_3001329" "CARD.ARO_3000621" "CARD.ARO_3002968" "CARD.ARO_3002667" "CARD.ARO_3000194" "CARD.ARO_3002804" "CARD.ARO_3002848" "CARD.ARO_3003379" "CARD.ARO_3002859" "CARD.ARO_3002612" "CARD.ARO_3000768" "CARD.ARO_3000413" "CARD.ARO_3002934" "CARD.ARO_3000237" "CARD.ARO_3002507" "CARD.ARO_3003022" "CARD.ARO_3003097" "CARD.ARO_3002999" "CARD.ARO_3001654" "CARD.ARO_3000858" "CARD.ARO_3000813" "CARD.ARO_3002795" "CARD.ARO_3002872" "CARD.ARO_3000410" "CARD.ARO_3002756" "CARD.ARO_3001970" "CARD.ARO_3004032" "CARD.ARO_3004033" "CARD.ARO_3001777" "CARD.ARO_3003583" "CARD.ARO_3001677" "CARD.ARO_3002666" "CARD.ARO_3000823" "CARD.ARO_3000567" "CARD.ARO_3003078" "CARD.ARO_3002630" "CARD.ARO_3003206" "CARD.ARO_3002836" "CARD.ARO_3002669" "CARD.ARO_3002647" "CARD.ARO_3002930" "CARD.ARO_3000013" "CARD.ARO_3002863" "CARD.ARO_3002858" "CARD.ARO_3004128" "CARD.ARO_3003775" "CARD.ARO_3003163" "CARD.ARO_3003209" "CARD.ARO_3003573" "CARD.ARO_3003817" "CARD.ARO_3003574" "CARD.ARO_3003167" "CARD.ARO_3003808" "CARD.ARO_3002578" "CARD.ARO_3000620" "CARD.ARO_3003818" "CARD.ARO_3003801" "CARD.ARO_3002831" "CARD.ARO_3003838" "CARD.ARO_3004035" "CARD.ARO_3004036" "CARD.ARO_3004114" "CARD.ARO_3000316" "CARD.ARO_3000206" "CARD.ARO_3000254" "CARD.ARO_3000829" "CARD.ARO_3000027" "CARD.ARO_3003033" "CARD.ARO_3003702" "CARD.ARO_3004126" "CARD.ARO_3000166" "CARD.ARO_3000753" "CARD.ARO_3002895" "CARD.ARO_3003704" "CARD.ARO_3003705" "CARD.ARO_3003698" "CARD.ARO_3003699" "CARD.ARO_3003700" "CARD.ARO_3003303" "CARD.ARO_3000795" "CARD.ARO_3000518" "CARD.ARO_3003550" "CARD.ARO_3003549" "CARD.ARO_3003548" "CARD.ARO_3003576" "CARD.ARO_3002665" "CARD.ARO_3002069" "CARD.ARO_3003199" "CARD.ARO_3001855" "CARD.ARO_3004122" "CARD.ARO_3002683" "CARD.ARO_3002655" "CARD.ARO_3002685" "CARD.ARO_3002533" "CARD.ARO_3002688" "CARD.ARO_3002645" "CARD.ARO_3004039" "CARD.ARO_3000191" "CARD.ARO_3004359" "CARD.ARO_3002854" "CARD.ARO_3003389" "CARD.ARO_3003374" "CARD.ARO_3004041" "CARD.ARO_3000196" "CARD.ARO_3003479" "CARD.ARO_3002641" "CARD.ARO_3000168" "CARD.ARO_3002415" "CARD.ARO_3000186" "CARD.ARO_3000777" "CARD.ARO_3002835" "CARD.ARO_3001338" "CARD.ARO_3000556" "CARD.ARO_3002629" "CARD.ARO_3003918" "CARD.ARO_3003295" "CARD.ARO_3002525" "CARD.ARO_3003889" "CARD.ARO_3003899" "CARD.ARO_3003900" "CARD.ARO_3003893" "CARD.ARO_3003890" "CARD.ARO_3003585" "CARD.ARO_3004089" "CARD.ARO_3003955" "CARD.ARO_3003679" "CARD.ARO_3003680" "CARD.ARO_3003681" "CARD.ARO_3000506" "CARD.ARO_3000377" "CARD.ARO_3000379" "CARD.ARO_3002679" "CARD.ARO_3003686" "CARD.ARO_3000149" "CARD.ARO_3003895" "CARD.ARO_3003896" "CARD.ARO_3004077" "CARD.ARO_3003709" "CARD.ARO_3004107" "CARD.ARO_3000814" "CARD.ARO_3000803" "CARD.ARO_3000804" "CARD.ARO_3000805" "CARD.ARO_3004072" "CARD.ARO_3004075" "CARD.ARO_3004074" "CARD.ARO_3004073" "CARD.ARO_3003684" "CARD.ARO_3002985" "CARD.ARO_3000819" "CARD.ARO_3003692" "CARD.ARO_3003710" "CARD.ARO_3004056" "CARD.ARO_3000818" "CARD.ARO_3000806" "CARD.ARO_3000807" "CARD.ARO_3000808" "CARD.ARO_3000809" "CARD.ARO_3004069" "CARD.ARO_3004059" "CARD.ARO_3003582" "CARD.ARO_3003685" "CARD.ARO_3003682" "CARD.ARO_3004038" "CARD.ARO_3000676" "CARD.ARO_3004127" "CARD.ARO_3000832" "CARD.ARO_3000830" "CARD.ARO_3003288" "CARD.ARO_3000822" "CARD.ARO_3000025" "CARD.ARO_3000216" "CARD.ARO_3003807" "CARD.ARO_3003841" "CARD.ARO_3003751" "CARD.ARO_3003950" "CARD.ARO_3003390" "CARD.ARO_3004049" "CARD.ARO_3004045" "CARD.ARO_3003820" "CARD.ARO_3003952" "CARD.ARO_3000516" "CARD.ARO_3000024" "CARD.ARO_3003511" "CARD.ARO_3004290" "CARD.ARO_3000826" "CARD.ARO_3003926" "CARD.ARO_3002597" "CARD.ARO_3004054" "CARD.ARO_3003316" "CARD.ARO_3000616" "CARD.ARO_3002644" "CARD.ARO_3003386" "CARD.ARO_3003924" "CARD.ARO_3003907" "CARD.ARO_3002459" "CARD.ARO_3003925" "CARD.ARO_3000215" "CARD.ARO_3003922" "CARD.ARO_3003923" "CARD.ARO_3000780" "CARD.ARO_3003730" "CARD.ARO_3004468" "CARD.ARO_3003966" "CARD.ARO_3003968" "CARD.ARO_3002676" "CARD.ARO_3002626" "CARD.ARO_3000615" "CARD.ARO_3002613" "CARD.ARO_3003930" "CARD.ARO_3000263" "CARD.ARO_3000828" "CARD.ARO_3000491" "CARD.ARO_3000508" "CARD.ARO_3003109"
"Sample1" 0 0 0 0 0 0.0547062933319843 0 0 0 0.001953796190428 0 0 0 0 0 0 0 0 0 0 0 0 0.0026024950240972 0 0 0 0 0 0.00325632698404668 0 0 0 0 0 0 0 0 0 0 0.00822651027548634 0 0 0 0 0 0 0.00459716750688943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00248101103546414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.252334491850084 0 0 0 0 0 0 0 0 0 0 0 0.0473647561315881 0.0821552972425284 0 0 0 0 0 0 0 0 0 0 0 0.00142449697233598 0 0 0 0.0213951432227699 0 0 0 0 0 0.0024679530826459 0.0303923851844357 0 0 0 0 0 0 0 0 0 0 0.00217088465603112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120233611718647 0 0 0 0 0 0 0 0 0 0 0.0023682378065794 0 0.000781518476171203 0 0 0 0 0 0 0 0 0 0 0 0.00947295122631762 0 0 0.553074613905774 0 0 0 0 0 0.0868353862412448 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00601168058593233 0 0 0.00325632698404668 0.0173670772482489 0 0 0 0 0 0 0 0.00269489129714208 0 0 0 0 0 0 0 0 0 0 0 0 0.00217088465603112 0 0 0 0 0 0 0 0 0.00434176931206223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0120233611718647 0 0 0 0 0 0 0 0 0 0 0 0.00300584029296617 0 0.00801557411457644 0 0.00232594784574762 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0023682378065794 0.015630369523424 0 0
"Sample2" 0 0 0 0 0 0.00191747949725691 0 0 0 0.429109786722667 0 0 0 0 0 0 0 0.000511327865935176 0 0 0 0 0 0 0.00163153957222737 0 0 0 0 0 0 0.00294996845731832 0 0 0.000266316596841238 0 0 0 0.00294996845731832 0 0 0 0 0 0 0.00118250633132542 0 0 0 0 0 0 0 0 0 0 0 0 0.00140052208177733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00142604310436726 0 0 0 0 0 0.00488452671932813 0 0 0 0 0 0 0 0 0 0 0 0.280118743947096 5.49421059385935e-05 0 0 0 0 0 0 0 0 0 0 0.0366822164692627 0 0 0 0 0.00126631803757475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000913085474884244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000724381143408167 0.000639159832418971 0 0 0 0 0 0 0 0 0 0 0 0 0.000639159832418971 0.162248265152508 0 0.00153398359780553 0 0 0 0.000710177591576634 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00147498422865917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000277895579312596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.138750946954285 0 0 0 0.000290527196554078 0 0 0
"Sample3" 0 0 0 0 0 0.0292864054157296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00780970811086123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.044459133176761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0364011818726583 0 0 0 0 0 0 0 0 0 0 0.00685062114987828 0 0 0 0 0 0.10974695082105 0 0 0 0 0 0 0 0 0 0 0 0.469714328406872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00049179522108698 0 0 0 0 0 0.0102759317248175 0.0216936336412812 0 0 0 0 0 0 0 0 0 0 0.0162702252309609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0101236956992646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0709973464623749 0 0 0.0600746777758556 0 0 0 0 0 0.0795433233513644 0 0 0 0 0 0 0 0 0.00927481438286661 0 0 0 0.00780970811086123 0 0 0 0.00464863578027455 0 0 0 0.00780970811086123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0216936336412812 0 0 0 0
"Sample4" 0 0 0 0 0 0.00472022301241238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0503490454657319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0118254008100436 0 0 0 0 0 0 0 0 0 0 0 1.04939450739719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00508803259779515 0 0 0 0 0 0.000496865580253934 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014523763115115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136818058330793 0.000925533924002426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sample5" 0 0 0 0 0 0.00384625701496463 0 0 0 0.0177519554536829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000569815854068833 0.000418814652740592 0 0 0 0 0 0.00236692739382437 0 0.000445942842314738 0 0 0.008159611656035 0.00203625371380479 0 0 0 0 0 0 0 0 0 0 0 0.0164922212714702 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00756213243620163 0 0 0 0 0 0 0 0.00128208567165488 0 0 0 0 0 0 0 0 0.0116170457490581 0 0 0 0 0 0 0 0 0 0 0 0 0.00340490046569661 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00320835862894835 0 0 0 0 0 0.0145752897409186 0.00769251402992924 0 0 0 0 0.00236692739382437 0 0 0 0 0 0.000213680945275813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219786115140836 0 0 0 0 0 0 0 0 0 0 0 0.000284907927034416 0 0 0.00128208567165488 0.000769251402992924 0.000256417134330975 0.000445942842314738 0 0 0 0 0 0 0 0 0 0 0 0.000512834268661949 1.08878660115921 0 0 0 0 0 0.00968686951917016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000641042835827437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000222971421157369 0 0 0 0 0 0 0 0 0 0 0 0.00473385478764876 0 0.000591731848456095 0.000732620383802785 0.00157795159588292 0 0.00045788773987674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0245733087067184 0 0 0 0 0.00615401122394338 0.000466212971510863 0
"Sample6" 0 0 0 0 0 0.00021799076202398 0 0 0 0 0 0 0 0 0 0 0 0.000126371456245786 0 0 0 0 0 0 0.0023137615969212 0 0 0 0.0187714267298428 0 0 0.0261588914428776 0.0395737075674302 0.0224449747565432 0.00435981524047961 0 0.0389029667612026 0 0.0422566707923408 0.00242211957804422 0.0342077811176092 0.0207929649930566 0.00935378542502898 0.027165002652219 0 0.000128229860014106 0 0 0 0 0 0 0 0 0 0 0 0 0.000229463960025243 0 0 0 0 0 0 0 0 0.0523177828857553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0106573261433946 0 0 0.00306118224932226 0 0.00627201490735662 0 0 0 0.00575801563690009 0 0 0 0 0 0 0 0 0.0104406101811485 0 0 0 0.00117281579568457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000224430150231237 0 0 0 0 0 0 0 0 0 0 0 0.0409151891798854 0 0 0 0 0 0.000302764947255529 0 0 0 0 0 0 0 0 0 0.0214637057992842 0 0 0 0.0288418546677881 0.0184773122096516 0 0 0.0355492627300644 0 0 0 0 0 0 0 0 0.0207333435880586 0.00979046229441035 0.00858751486761135 0 0.000697570438476738 0.0236398870817116 0 0 0 0 0 0 0 0 0 0 0 0 0.00498264598911955 0 0 0 0 0 0 0.000161474638536281 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0134148161245527 0.00339096740926192 0.0301833362802434 0.0385895551344832 0.0494112393921022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00315928640614465 0.00195875757180967 0 0.0449396340172513 0.0305187066833572 0 0 0.0342077811176092 0.001769200387441 0.000207610249546648 0 0.0134148161245527 0.0107318528996421 0.0402444483736579 0.000232523479492246 0 0.0128718354718922 0.0133953743620533 0.0123910538413631 0.00478368616663735 0.00732448960400574 0 0 0 0 0.0348785219238368 0 0 0.012744075318325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.05529894511056e-05 0 0 0.0053286630716973 0.00749899709676696 0.0357504849719327 0 0
"Sample7" 0 0 0 0 0 0.0771289021600543 0 0 0 0.0685853929977098 0 0 0 0 0 0 0 0 0 0 0 0 0.000778128037555621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0041272012161547 0.00272219654682545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018985575916321 0 0 0 0.653634764068256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.13163332635316 0 0 0 0 0 0 0 0.000220368291885869 0 0 0 0.0375584219214178 0.0213675157519135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0211553560210435 0 0 0 0 0 0.00519605235604576 0 0 0 0 0 0 0 0 0 0 0 0.00171397560355676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00293824389181159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00949278795816051 0 0 0 0 0 0.00685590241422705 0 0 0 0 0 0 0 0 0.00268274442295841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00342795120711352 0 0 0 0 0 0 0
"Sample8" 0 0 0 0 0 0.122298947679731 0 0 0 0.0087356391199808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00919540959997978 0 0 0 0.00727969926665067 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00770791687057129 0 0 0 0 0 0 0 0 0 0 0 0.0183908191999595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00306513653332659 0 0 0 0 0 0.146390920831678 0 0 0 0 0 0 0 0 0 0 0 0.418251812411201 0.0281136045904326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0261691007403754 0 0 0 0 0 0 0.101915789733109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0537577791998818 0 0.00931801506131285 0 0 0 0.00647084379257837 0 0 0 0 0 0 0 0 0 0 0 0 0.00698851129598464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00242656642221689 0 0 0.00970626568886755 0 0 0 0
"Sample9" 0 0 0 0 0 0 0 0 0 0.00590461593963484 0 0 0 0 0 0 0 0 0 0 0 0 0.00325771913910887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00380942963847409 0.00694660698780569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0240187767035994 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.131766166231851 0 0 0 0 0 0 0 0 0 0 0 0.691439083945646 0.0731047687764314 0 0 0 0 0 0 0 0 0 0 0.0123226767435857 0 0 0 0 0.0154053880010624 0 0 0 0 0 0 0.00656068437737204 0 0 0 0 0 0 0 0 0 0 0.00656068437737204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.145344392360242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0363360980900605 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sample10" 0 0 0 0 0 0.00578617830258407 0 0 0 0.00289308915129203 0 0 0 0 0 0 0 0.00335430626236758 0 0 0 0 0.000798093558977113 0 0.00347170698155045 0 0 0 0.00321454350143559 0 0 0 0.0356072510928251 0.0171442320076565 0 0 0 0 0 0 0.0356072510928251 0 0.00321454350143559 0 0 0 0.00850908573909422 0 0 0 0 0 0 0 0 0 0 0 0.00257163480114848 0 0 0 0 0 0 0 0.00551064600246102 0 0 0.00428605800191413 0 0 0 0 0 0.149067644405555 0 0 0 0 0 0 0 0.00321454350143559 0 0 0.00251572969677568 0 0 0 0 0 0.225518837140715 0 0 0 0 0 0 0 0 0 0 0 0 0.00581591579056297 0 0 0 0 0 0.0098891047353255 0 0 0 0 0 0.000755129305394333 0 0 0 0.0348040800155432 0 0 0 0 0 0.00121814280054402 0.106079935547375 0 0 0 0 0.0356072510928251 0 0 0 0 0 0.0016072717507178 0 0 0 0 0 0 0 0 0 0 0.00694175721913451 0.000893618270669355 0 0 0.00551064600246102 0 0 0 0.00166508728131915 0 0 0 0 0 0 0 0 0 0.00701354945767766 0 0.00668625048298604 0.00385745220172272 0.00826596900369153 0 0 0 0 0 0 0 0 0 0 0 0 0.124625378824887 0.000577655071805398 0 0 0 0 0.0171442320076565 0 0 0 0 0 0 0 0 0.00503145939355137 0 0 0 0 0.0178036255464125 0 0 0.00482181525215339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00701354945767766 0 0.00367376400164069 0 0.0445090638660312 0 0 0 0 0 0 0 0 0 0 0 0 0.0118690836976083 0.0121814280054402 0.00183688200082034 0.00308596176137818 0 0 0 0 0.0231447132103362 0 0 0 0 0 0 0 0 0 0 0 0.0105203241865165 0 0 0 0 0 0.0064290870028712 0 0 0 0 0.0462894264206725 0 0
