gene	name	full_name	species	chromosome_GRCh37_hg19	locations_GRCh37_hg19
ABCB1	MDR1	ATP binding cassette subfamily B member 1(ABCB1)	Homo sapiens	7	87133175:87342639
ABCB11	BSEP	ATP binding cassette subfamily B member 11(ABCB11)	Homo sapiens	2	169779448:169887833
ABCB4	MDR3	ATP binding cassette subfamily B member 4(ABCB4)	Homo sapiens	7	87031013:87109751
ABCC1	MRP1	ATP binding cassette subfamily C member 1(ABCC1)	Homo sapiens	16	16043434:16236931
ABCC2	MRP2	ATP binding cassette subfamily C member 2(ABCC2)	Homo sapiens	10	101542463:101611949
ABCC3	MRP3	ATP binding cassette subfamily C member 3(ABCC3)	Homo sapiens	17	48712138:48769613
ABCC4	MRP4	ATP binding cassette subfamily C member 4(ABCC4)	Homo sapiens	13	95672083:95953687
ACOX2	BCOX THCCox	acyl-CoA oxidase 2(ACOX2)	Homo sapiens	3	58490863:58523046
AKR1C4	3-alpha-HSD	aldo-keto reductase family 1 member C4(AKR1C4)	Homo sapiens	10	5237425:5260912
AKR1D1	SRD5B1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	7	137687070:137803050
AMACR	RACE	alpha-methylacyl-CoA racemase(AMACR)	Homo sapiens	5	33986283:34008220
ATP8B1	BRIC/PFIC1	ATPase phospholipid transporting 8B1(ATP8B1)	Homo sapiens	18	55313658:55470333
BAAT	BAT	bile acid-CoA:amino acid N-acyltransferase(BAAT)	Homo sapiens	9	104122699:104147287
CH25H	C25H	cholesterol 25-hydroxylase(CH25H)	Homo sapiens	10	90965694:90967071
CYP27A1	CTX CYP27	cytochrome P450 family 27 subfamily A member 1(CYP27A1)	Homo sapiens	2	219646472:219680016
CYP39A1	CYP39A1	cytochrome P450 family 39 subfamily A member 1(CYP39A1)	Homo sapiens	6	46517445:46620523
CYP46A1	CYP46	cytochrome P450 family 46 subfamily A member 1(CYP46A1)	Homo sapiens	14	100150641:100193638
CYP7A1	CYP7A	cytochrome P450 family 7 subfamily A member 1(CYP7A1)	Homo sapiens	8	59402737:59412795
CYP7B1	CP7B	cytochrome P450 family 7 subfamily B member 1(CYP7B1)	Homo sapiens	8	65500320:65711348
CYP8B1	CYP12	cytochrome P450 family 8 subfamily B member 1(CYP8B1)	Homo sapiens	3	42897497:42917633
DBP	DABP	D-box binding PAR bZIP transcription factor(DBP)	Homo sapiens	19	49133287:49140695
FABP6	IBABP /I-BABP	fatty acid binding protein 6(FABP6)	Homo sapiens	5	159614374:159665742
FGF19	FGF19	fibroblast growth factor 19(FGF19)	Homo sapiens	11	69513000:69519410
FGFR4	JTK2	fibroblast growth factor receptor 4(FGFR4)	Homo sapiens	5	176513887:176525145
GATA4	GATA4	GATA binding protein 4(GATA4)	Homo sapiens	8	11534468:11617511
HNF1A	MODY3/TCF1	HNF1 homeobox A(HNF1A)	Homo sapiens	12	121416346:121440315
HNF4A	MODY1/NR2A1	hepatocyte nuclear factor 4 alpha(HNF4A)	Homo sapiens	20	42984340:43061485
HSD17B4	DBP/MPF-2/SDR8C1	hydroxysteroid 17-beta dehydrogenase 4(HSD17B4)	Homo sapiens	5	118788138:118972894
HSD3B7	PFIC4/SDR11E3	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7(HSD3B7)"	Homo sapiens	16	30996519:31000473
KLB	betaKLOTHO/BKL	klotho beta(KLB)	Homo sapiens	4	39408473:39453156
MAFG	hMAF	MAF bZIP transcription factor G(MAFG)	Homo sapiens	17	79876145:79885590
MALRD1	DIET1	MAM and LDL receptor class A domain containing 1(MALRD1)	Homo sapiens	10	19492779:20079330
MLXIPL	CHREBP	MLX interacting protein like(MLXIPL)	Homo sapiens	7	73007524:73038873
NFIL3	E4BP4	"nuclear factor, interleukin 3 regulated(NFIL3)"	Homo sapiens	9	94171327:94186144
NR0B2	SHP	nuclear receptor subfamily 0 group B member 2(NR0B2)	Homo sapiens	1	27237975:27240567
NR1D1	REVERBalpha	nuclear receptor subfamily 1 group D member 1(NR1D1)	Homo sapiens	17	38249037:38256978
NR1H2	LXR-beta	nuclear receptor subfamily 1 group H member 2(NR1H2)	Homo sapiens	19	50832910:50886267
NR1H3	LXR-alpha	nuclear receptor subfamily 1 group H member 3(NR1H3)	Homo sapiens	11	47269851:47290401
NR1H4	FXR	nuclear receptor subfamily 1 group H member 4(NR1H4)	Homo sapiens	12	100867486:100958191
NR1I2	PXR/SXR	nuclear receptor subfamily 1 group I member 2(NR1I2)	Homo sapiens	3	119499331:119537332
NR1I3	CAR	nuclear receptor subfamily 1 group I member 3(NR1I3)	Homo sapiens	1	161199456:161208092
NR5A2	LRH1	nuclear receptor subfamily 5 group A member 2(NR5A2)	Homo sapiens	1	199996730:200146552
PPARA	PPAR-alpha	peroxisome proliferator activated receptor delta(PPARD)	Homo sapiens	22	46546424:46639653
PPARD	PPAR-beta/delta	peroxisome proliferator activated receptor alpha(PPARA)	Homo sapiens	6	35310335:35395968
PPARG	PPAR-gamma	peroxisome proliferator activated receptor gamma(PPARG)	Homo sapiens	3	12328867:12475855
PXMP4	PMP24	peroxisomal membrane protein 4(PXMP4)	Homo sapiens	20	32290550:32308136
RXRA	NR2B1	retinoid X receptor alpha(RXRA)	Homo sapiens	9	137208944:137332431
SCP2	SCP-X	sterol carrier protein 2(SCP2)	Homo sapiens	1	53392901:53517375
SLC10A1	NTCP	solute carrier family 10 member 1(SLC10A1)	Homo sapiens	14	70242134:70264006
SLC10A2	ASBT	solute carrier family 10 member 2(SLC10A2)	Homo sapiens	13	103696348:103719196
SLC27A2	FATP2	solute carrier family 27 member 2(SLC27A2)	Homo sapiens	15	50474393:50528592
SLC27A5	FATP5/ BACS	solute carrier family 27 member 5(SLC27A5)	Homo sapiens	19	58990879:59023780
SLC51A	OST-Alpha	solute carrier family 51 alpha subunit(SLC51A)	Homo sapiens	3	195938358:195970049
SLC51B	OST-Beta	solute carrier family 51 beta subunit(SLC51B)	Homo sapiens	15	65337708:65345734
SLCO1A2	OATP-A	solute carrier organic anion transporter family member 1A2(SLCO1A2)	Homo sapiens	12	21417534:21572528
SLCO1B1	OATP-C	solute carrier organic anion transporter family member 1B1(SLCO1B1)	Homo sapiens	12	21284128:21392730
SLCO1B3	OATP8	solute carrier organic anion transporter family member 1B3(SLCO1B3)	Homo sapiens	12	20963636:21243040
SLCO1B3-SLCO1B7	LST-3TM12/OATP1B3-1B7	SLCO1B3-SLCO1B7 Readthrough	Homo sapiens	12	20968608:21243179
SREBF1	SREBP1	sterol regulatory element binding transcription factor 1(SREBF1)	Homo sapiens	17	17713713:17740325
SREBF2	SREBP2	sterol regulatory element binding transcription factor 2(SREBF2)	Homo sapiens	22	42229106:42303312
THRB	NR1A2	thyroid hormone receptor beta(THRB)	Homo sapiens	3	24158644:24536773
VDR	NR1I1	"vitamin D (1,25- dihydroxyvitamin D3) receptor(VDR)"	Homo sapiens	12	48235320:48336831
ZFP36L1	BRF1/BERG36	ZFP36 ring finger protein like 1(ZFP36L1)	Homo sapiens	14	69254375:69263190
